x,y,z,density,shock_sensor,radius_yz,spiral_step,bin_i,bin_j
-0.7098780274391174,0.03071863017976284,-0.025189997628331184,4.568452835083008,7646.494441278536,0.039726190613200846,0,40,40
-0.7098006010055542,-0.03507228195667267,-0.035701684653759,4.51930570602417,7064.259516340356,0.050046730650111386,1,39,39
-0.7088543772697449,0.0877387523651123,-0.07827556878328323,4.56089448928833,8140.541222384274,0.11758041220770152,2,41,39
-0.709895133972168,-0.03469037637114525,-0.013036493211984634,4.529171943664551,7213.7785578450175,0.037059038951891804,3,39,40
-0.7093587517738342,0.0843224823474884,-0.026766901835799217,4.630727767944336,7908.5878923335085,0.08846891015000583,4,41,40
-0.7093887329101562,-0.04550643265247345,0.07322178781032562,4.549088954925537,7339.17801736988,0.08621058880957984,5,39,41
-0.7095041275024414,0.0715082436800003,0.031215157359838486,4.652560710906982,7352.067550970167,0.07802445105989393,6,41,41
-0.7097600698471069,0.029099181294441223,-0.04629024118185043,4.553776741027832,7645.044143219849,0.054676766370009844,7,40,39
-0.709357738494873,-0.01837237924337387,0.08640383929014206,4.5746612548828125,7341.968434557892,0.08833554077006067,8,40,41
-0.7084863781929016,-0.09727375209331512,-0.09381400793790817,4.49880838394165,5759.991446345665,0.13514159586036278,9,38,38
-0.7072564363479614,0.1483372151851654,-0.10457053780555725,4.550981044769287,8077.5256971317185,0.1814908449091401,10,42,38
-0.7090781927108765,-0.1001608818769455,-0.033926110714673996,4.513125896453857,6212.555138717667,0.1057505709043301,11,38,39
-0.7084407210350037,0.1092921644449234,-0.08263688534498215,4.566103935241699,8183.973816870322,0.13701690417089382,12,42,39
-0.7092627286911011,-0.09278669208288193,0.018178315833210945,4.505624294281006,6683.268626762283,0.09455062873516766,13,38,40
-0.7091225981712341,0.09871307015419006,-0.02953023836016655,4.610722064971924,7995.985490513852,0.10303545601817998,14,42,40
-0.7085881233215332,-0.09851131588220596,0.08547678589820862,4.515203475952148,6886.99431305344,0.13042530538331878,15,38,41
-0.7090401649475098,0.10149198025465012,0.036574993282556534,4.672213554382324,7076.656725293162,0.10788119479144335,16,42,41
-0.7085073590278625,-0.09424197673797607,0.09536977857351303,4.51869535446167,6965.213337911516,0.1340781296283705,17,38,42
-0.7084874510765076,0.09506475180387497,0.09620784223079681,4.6939921379089355,5852.920710266393,0.13525256353296317,18,42,42
-0.7090412974357605,-0.0468166321516037,-0.09712287038564682,4.512862205505371,6418.838250662084,0.10781766551899427,19,39,38
-0.7090348601341248,-0.054122213274240494,0.093470498919487,4.546646595001221,7370.347561844945,0.10800901878065644,20,39,42
-0.7091556787490845,0.023406842723488808,-0.09835038334131241,4.514434814453125,7309.336053477215,0.10109736984543782,21,40,38
-0.7089788913726807,-0.024327510967850685,0.10836868733167648,4.5728840827941895,7415.376511941896,0.11106574712251097,22,40,42
-0.7087041735649109,0.07587382942438126,-0.09932360053062439,4.537625312805176,7948.241988640361,0.1249880618854743,23,41,38
-0.7090722918510437,0.03553888946771622,0.09995689243078232,4.644038200378418,6941.358259705234,0.10608672399983675,24,41,42
-0.705696165561676,-0.1606726497411728,-0.16081249713897705,4.481131553649902,3647.4472783176743,0.2273243489178471,25,37,37
-0.7057098150253296,0.16292275488376617,-0.1577662080526352,4.500058650970459,7592.094194114451,0.22679065338373874,26,43,37
-0.7070490121841431,-0.16140314936637878,-0.0969775840640068,4.475205898284912,4492.105366650825,0.1882966500930834,27,37,38
-0.7071066498756409,0.15804468095302582,-0.09875529259443283,4.556813716888428,7938.305644972957,0.18636182278824104,28,43,38
-0.7077274322509766,-0.1613650768995285,-0.03609399124979973,4.488600730895996,5240.688377895995,0.1653525453300655,29,37,39
-0.7067745327949524,0.17534196376800537,-0.08920441567897797,4.563513278961182,7975.126354818383,0.19672882868214409,30,43,39
-0.707938015460968,-0.1571277529001236,0.01157556101679802,4.497949600219727,5685.810450480721,0.15755356023998923,31,37,40
-0.7073222398757935,0.1769433170557022,-0.029034655541181564,4.617478847503662,7458.722604255863,0.17930964467387087,32,43,40
-0.7072713375091553,-0.15893292427062988,0.08681775629520416,4.503809452056885,6006.779115531765,0.18109941254832174,33,37,41
-0.7077599167823792,0.16027483344078064,0.03616831824183464,4.7002410888671875,6320.516666128859,0.16430511093363043,34,43,41
-0.7066405415534973,-0.15655721724033356,0.1256760209798813,4.486993789672852,6049.4492311973845,0.20076011685435072,35,37,42
-0.7069090008735657,0.16401398181915283,0.10227439552545547,4.738558769226074,3947.573242907302,0.1932890017881791,36,43,42
-0.7056807279586792,-0.15681396424770355,0.16500690579414368,4.50367546081543,5965.738388724088,0.22763545054063405,37,37,43
-0.7057684659957886,0.1560993790626526,0.16346479952335358,4.711808204650879,2703.556040052048,0.22602600918247412,38,43,43
-0.707099199295044,-0.09893639385700226,-0.15832631289958954,4.475686073303223,4680.046615357504,0.18669662928346245,39,38,37
-0.7070226669311523,-0.09797867387533188,0.16166289150714874,4.519102096557617,6776.226442443257,0.1890362690724211,40,38,43
-0.7076889276504517,-0.04137428104877472,-0.16152405738830566,4.489756107330322,5529.729920859401,0.16673887443389937,41,39,37
-0.7075679898262024,-0.036518409848213196,0.16697043180465698,4.5604071617126465,7068.473299760033,0.17091728805148906,42,39,43
-0.7079972624778748,0.01644333451986313,-0.15441519021987915,4.504934787750244,6499.10180555855,0.1552882294984832,43,40,37
-0.7078728079795837,-0.014548988081514835,0.15934570133686066,4.600610733032227,6948.207972540966,0.16000851723808973,44,40,43
-0.7071433067321777,0.08517906814813614,-0.1644287407398224,4.488727569580078,7191.025057465888,0.1851817605269713,45,41,37
-0.7078726887702942,0.039887718856334686,0.15496204793453217,4.641610145568848,6432.1477269996485,0.1600133319933881,46,41,43
-0.7061801552772522,0.14775368571281433,-0.1548522263765335,4.503556251525879,7664.113084866135,0.21403355731167553,47,42,37
-0.7069157958030701,0.09412343055009842,0.16817784309387207,4.6932148933410645,4641.510097379114,0.19272521134046333,48,42,43
-0.7015834450721741,-0.22122900187969208,-0.22820962965488434,4.4643988609313965,1377.6050585249752,0.3178394348407766,49,36,36
-0.701366126537323,0.2367127239704132,-0.21752960979938507,4.4537200927734375,6868.076468162793,0.32148412842466384,50,44,36
-0.7035718560218811,-0.22363612055778503,-0.1646512895822525,4.476426601409912,2401.7880725839705,0.27771057160150553,51,36,37
-0.7038922309875488,0.2220989167690277,-0.15438874065876007,4.496028423309326,7437.575065687899,0.27048809968679466,52,44,37
-0.7052039504051208,-0.2191820591688156,-0.09757166355848312,4.478360652923584,3420.2309535264494,0.23991874581001796,53,36,38
-0.7045924663543701,0.2262110710144043,-0.11671032756567001,4.527699947357178,7727.279546577577,0.25454419893207125,54,44,38
-0.7058968544006348,-0.2190091460943222,-0.03621428832411766,4.481924057006836,4039.085515466419,0.22198306411027507,55,36,39
-0.7051302194595337,0.22395329177379608,-0.0906035378575325,4.551007270812988,7670.550128746953,0.2415865848275114,56,44,39
-0.7057009339332581,-0.22535137832164764,0.028161561116576195,4.471948146820068,4433.818045036972,0.22710419907167947,57,36,40
-0.7056739926338196,0.22598141431808472,-0.028193309903144836,4.598919868469238,7291.039300172521,0.2277333140770068,58,44,40
-0.7058672308921814,-0.21654856204986572,0.051906704902648926,4.477956295013428,4778.938377725068,0.22268270193195344,59,36,41
-0.7056710720062256,0.22539478540420532,0.03362560644745827,4.654416561126709,6046.860684290777,0.22788920706423793,60,44,41
-0.7051530480384827,-0.21824973821640015,0.10243906825780869,4.478532791137695,4925.2869580929,0.24109481731687055,61,36,42
-0.703731119632721,0.2577367126941681,0.09348639100790024,4.657439231872559,4104.575540091992,0.27416768294982935,62,44,42
-0.7038668394088745,-0.21873649954795837,0.1601787805557251,4.479087829589844,4970.418949864771,0.2711141788524037,63,36,43
-0.7018443942070007,0.27069151401519775,0.15634045004844666,4.616961479187012,2172.248185297893,0.31259595659763556,64,44,43
-0.7017662525177002,-0.21637502312660217,0.22757139801979065,4.477474212646484,4871.094668595095,0.314017343198938,65,36,44
-0.6979036927223206,0.25998595356941223,0.2777644395828247,4.54877233505249,3033.4914486619923,0.3804547015745202,66,44,44
-0.7036925554275513,-0.1602173000574112,-0.22363054752349854,4.484885215759277,2425.777420381145,0.2751003544587798,67,37,36
-0.7036758661270142,-0.16180719435214996,0.22271989285945892,4.499065399169922,5640.397724619727,0.27529206094517744,68,37,44
-0.7050893306732178,-0.10746786743402481,-0.21767479181289673,4.48010778427124,3445.4375836398194,0.24275843450147117,69,38,36
-0.7052573561668396,-0.09844177961349487,0.21714775264263153,4.514326572418213,6488.2768512669745,0.23841965198199871,70,38,44
-0.7059032320976257,-0.03351640701293945,-0.21916671097278595,4.468194961547852,4602.660087178109,0.2217146741595732,71,39,36
-0.7058886885643005,-0.04340080916881561,0.21774253249168396,4.547451496124268,6665.35904143784,0.2220257658300045,72,39,44
-0.7057108283042908,0.029283301904797554,-0.22494536638259888,4.472261428833008,5507.392784678967,0.22684340331481798,73,40,36
-0.7058495879173279,-0.022180944681167603,0.22197045385837555,4.561201572418213,6710.122864394753,0.22307594377933773,74,40,44
