"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -5.302695786,      -15.98163061,      -16.49059113,      -16.05159067,      -5.095570293,      -12.30560673
          0,           0,           1,      -5.454389557,      -5.612207308,      -6.472234565,       -5.63156164,      -5.252035488,      -12.30664277
          0,           0,           2,      -5.474636157,      -5.676642998,      -6.460448486,      -5.665241266,       -5.26618692,      -12.55248504
          0,           0,           3,      -5.492888015,      -5.743736109,      -6.396139444,      -5.700612101,       -5.27739159,      -12.70723871
          0,           0,           4,      -5.515717471,      -5.799550644,      -6.314744044,      -5.740702029,      -5.293964778,      -12.80065417
          0,           0,           5,      -5.549023472,      -5.815598758,      -6.239635372,      -5.785741019,        -5.3235904,      -12.85573692
          0,           0,           6,       -5.59119278,      -5.783905674,      -6.184282567,      -5.827495866,      -5.365810308,      -12.88086229
          0,           0,           7,      -5.619216311,      -5.743364326,      -6.151173636,      -5.841336345,      -5.392643471,      -12.89760243
          0,           0,           8,      -5.604874934,      -5.728764168,      -6.131623665,      -5.815208674,      -5.367237268,      -12.89631004
          0,           0,           9,      -5.570780366,       -5.74306115,      -6.109888454,      -5.784419604,      -5.318339457,      -12.88471057
          0,           0,          10,      -5.550474124,      -5.767663698,      -6.088248127,      -5.776618747,      -5.289174235,      -12.86990268
          0,           0,          11,      -5.555157448,      -5.775089118,       -6.07602085,      -5.790002879,       -5.29283228,      -12.84599984
          0,           0,          12,      -5.574977076,      -5.765099792,      -6.077246502,      -5.809605047,      -5.317526708,      -12.82546119
          0,           0,          13,      -5.592306394,      -5.757776564,      -6.087079744,      -5.822472987,      -5.340848235,      -12.81362697
          0,           0,          14,      -5.598693133,      -5.769620325,      -6.099462764,       -5.82711188,      -5.348640173,      -12.80285846
          0,           0,          15,      -5.599061257,      -5.793013834,      -6.108375451,      -5.830464137,      -5.347563366,      -12.79021295
          0,           0,          16,      -5.601746078,      -5.805639951,      -6.112037104,      -5.835393382,      -5.350485222,      -12.77645796
          0,           0,          17,      -5.606314057,      -5.801724228,      -6.112595138,      -5.838590365,      -5.357007094,      -12.76509831
          0,           0,          18,      -5.609308694,       -5.79914228,      -6.113621617,      -5.838952316,      -5.361030591,      -12.75772731
          0,           0,          19,      -5.609262346,      -5.806830847,       -6.11537076,      -5.838773096,      -5.360468689,       -12.7499068
          0,           0,          20,      -5.608797192,      -5.815278753,       -6.11570467,      -5.840195624,      -5.359586557,      -12.74285903
          0,           0,          21,      -5.609135848,      -5.813047456,      -6.114261052,      -5.842222667,       -5.36038941,      -12.73440568
          0,           0,          22,      -5.609666837,       -5.80622858,      -6.112585708,       -5.84245301,      -5.361402426,      -12.72786267
          0,           0,          23,      -5.608333351,      -5.804642233,      -6.111676361,      -5.841330556,      -5.359449148,      -12.72260088
