x,y
-1.105486989021301270e+00,-9.018895775079727173e-02
-1.104193568229675293e+00,-9.620651602745056152e-02
-1.101157307624816895e+00,-8.106797933578491211e-02
-1.099817633628845215e+00,-6.913423538208007812e-02
-1.094996809959411621e+00,-5.673901736736297607e-02
-1.092900156974792480e+00,-2.531544566154479980e-01
-1.091119647026062012e+00,1.168869063258171082e-01
-1.090391635894775391e+00,-2.822178602218627930e-01
-1.090031981468200684e+00,9.400472790002822876e-02
-1.087803363800048828e+00,6.948736310005187988e-02
-1.087776899337768555e+00,-3.215716779232025146e-01
-1.085774660110473633e+00,-3.150755465030670166e-01
-1.085261464118957520e+00,-3.040648102760314941e-01
-1.085006117820739746e+00,-3.190876841545104980e-01
-1.084838747978210449e+00,1.735381633043289185e-01
-1.084442377090454102e+00,-3.457573950290679932e-01
-1.084386944770812988e+00,-2.115763276815414429e-01
-1.083879470825195312e+00,1.858155578374862671e-01
-1.083463549613952637e+00,2.019435539841651917e-02
-1.083397030830383301e+00,1.972360350191593170e-02
-1.081750988960266113e+00,2.029640525579452515e-01
-1.081695079803466797e+00,-2.258851379156112671e-01
-1.081454396247863770e+00,-3.732227683067321777e-01
-1.081219315528869629e+00,1.948399543762207031e-01
-1.080748200416564941e+00,4.421554505825042725e-02
-1.080324649810791016e+00,-1.030509825795888901e-03
-1.080036759376525879e+00,2.204138487577438354e-01
-1.079949259757995605e+00,-2.204250693321228027e-01
-1.079468488693237305e+00,1.982315033674240112e-01
-1.078900218009948730e+00,2.385601699352264404e-01
-1.077968120574951172e+00,-3.823689222335815430e-01
-1.076957225799560547e+00,-2.882037684321403503e-02
-1.074959158897399902e+00,4.055640101432800293e-01
-1.074699521064758301e+00,3.994604349136352539e-01
-1.074097275733947754e+00,4.135713875293731689e-01
-1.073442816734313965e+00,-2.046883106231689453e-01
-1.072797536849975586e+00,2.705253660678863525e-01
-1.072349071502685547e+00,6.624192595481872559e-01
-1.071590185165405273e+00,3.453364670276641846e-01
-1.071571946144104004e+00,3.420971930027008057e-01
-1.071371078491210938e+00,3.327268064022064209e-01
-1.071223020553588867e+00,5.751041769981384277e-01
-1.070900201797485352e+00,4.304556846618652344e-01
-1.070757865905761719e+00,2.654893994331359863e-01
-1.070074200630187988e+00,5.478998422622680664e-01
-1.069858551025390625e+00,-1.919125765562057495e-01
-1.069801330566406250e+00,5.464164614677429199e-01
-1.069519758224487305e+00,5.618171691894531250e-01
-1.068936467170715332e+00,-4.738889336585998535e-01
-1.068660020828247070e+00,-5.236641168594360352e-01
-1.068621873855590820e+00,-1.347552537918090820e-01
-1.067647695541381836e+00,4.912742376327514648e-01
-1.067531824111938477e+00,3.670313954353332520e-01
-1.067425608634948730e+00,4.919984638690948486e-01
-1.066952466964721680e+00,6.313067674636840820e-01
-1.066918253898620605e+00,-5.361768603324890137e-01
-1.066579103469848633e+00,-4.409440159797668457e-01
-1.066277265548706055e+00,-4.602446556091308594e-01
-1.066148757934570312e+00,6.103846430778503418e-01
-1.065364241600036621e+00,-4.109150171279907227e-01
-1.065125226974487305e+00,5.974316596984863281e-01
-1.063446164131164551e+00,4.832839667797088623e-01
