x,y
4.037616293089730246e-01,-2.280074889344681388e+00
3.561463076898029878e-01,-2.137530347304537948e+00
3.007411102907998068e-01,-1.959633864700646821e+00
2.389466185399464204e-01,-1.745750958604324721e+00
1.724278285843985348e-01,-1.501446574100278930e+00
1.169931928770882035e-01,-1.254009301347244643e+00
7.280578333990916917e-02,-1.004765173392489164e+00
3.945804044178558012e-02,-7.729305395021939251e-01
1.478630706242145543e-02,-5.453560164960273848e-01
-9.744808333260746025e-04,-3.306687712633090137e-01
-8.318249906812513750e-03,-1.098970583470710582e-01
-8.063550744737857379e-03,1.100240026237802871e-01
-3.345973151069880913e-05,3.269443103281608476e-01
1.491357149396621562e-02,5.424839190110658516e-01
3.566230596814834453e-02,7.794001536455945622e-01
6.483932454245433519e-02,1.015943021408296287e+00
9.983739658764434477e-02,1.266840514089527137e+00
1.431211997100284572e-01,1.518507085502294851e+00
1.853142633778708248e-01,1.777106996919574966e+00
2.318214558873857301e-01,2.029294351143643205e+00
2.839852058206285279e-01,2.287276111304906934e+00
3.415558676379067404e-01,2.538174727959439103e+00
4.002528709769249127e-01,2.790245699857108796e+00
4.710046766336474233e-01,3.041302575358469706e+00
5.513010482979672222e-01,3.284147667859428132e+00
6.434896279935325980e-01,3.528244151362497583e+00
7.473534803582089214e-01,3.776370351629744437e+00
8.603536135660749817e-01,4.016407179807060857e+00
9.623352534281355286e-01,4.224108113535960385e+00
1.055331713414617845e+00,4.399462492099977418e+00
1.129331247908728519e+00,4.539011679351476758e+00
