"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -5.329754453,      -16.13383245,      -17.07085459,      -16.06056181,      -5.438898922,      -12.82379668
          0,           0,           1,      -5.478247526,      -5.692550998,      -6.420463573,      -5.574776082,      -5.598992348,      -12.77689963
          0,           0,           2,      -5.506474392,      -5.781019503,      -6.481473916,      -5.640627796,      -5.613306742,      -12.97812538
          0,           0,           3,      -5.520039133,      -5.841233463,      -6.502439022,      -5.678816839,      -5.617526733,      -13.08745519
          0,           0,           4,      -5.526735714,      -5.888454346,      -6.478384873,      -5.710883594,      -5.617576584,      -13.15898559
          0,           0,           5,       -5.53317327,      -5.919161485,      -6.422689923,      -5.744483982,      -5.619029724,      -13.20855258
          0,           0,           6,      -5.545249997,       -5.92818595,      -6.363136766,      -5.780171588,      -5.627420415,      -13.23497474
          0,           0,           7,      -5.563748062,      -5.912442811,      -6.309842175,      -5.808169158,      -5.643078618,      -13.24435253
          0,           0,           8,      -5.580338171,      -5.879076704,      -6.263729308,      -5.812061526,      -5.656668542,      -13.24147511
          0,           0,           9,      -5.580596269,      -5.842730627,      -6.223562112,      -5.792217583,      -5.650151757,      -13.23443041
          0,           0,          10,      -5.560073408,      -5.822677148,       -6.18477309,      -5.756985813,      -5.619555487,      -13.21758695
          0,           0,          11,      -5.528119245,      -5.820376305,      -6.150280234,      -5.723824233,      -5.577721932,      -13.20181414
          0,           0,          12,       -5.49833431,      -5.827654484,      -6.122729897,      -5.702871809,      -5.541237913,      -13.19132583
          0,           0,          13,      -5.482183406,      -5.829808068,      -6.103553927,      -5.698872236,      -5.522446831,      -13.18050568
          0,           0,          14,      -5.483692666,      -5.821819813,       -6.09557481,      -5.711646683,      -5.523660976,      -13.16286608
          0,           0,          15,      -5.498119334,      -5.816684451,      -6.099119249,      -5.731605368,      -5.539085468,      -13.14307274
          0,           0,          16,       -5.51992913,      -5.823907144,      -6.113559076,      -5.750067455,      -5.564420209,      -13.12835904
          0,           0,          17,      -5.539309906,      -5.840950068,      -6.132486284,      -5.759681852,      -5.588939626,      -13.11951685
          0,           0,          18,      -5.551460158,      -5.861192936,      -6.150237824,      -5.763536014,       -5.60496183,      -13.11442466
          0,           0,          19,      -5.558859381,      -5.883360642,      -6.165753406,      -5.766687273,       -5.61419773,      -13.10914536
          0,           0,          20,      -5.566134036,      -5.905108169,      -6.177442878,      -5.770633611,      -5.622439533,      -13.10025221
          0,           0,          21,      -5.573709148,       -5.92083762,      -6.185021456,      -5.774698895,      -5.631189949,      -13.08794549
          0,           0,          22,      -5.580052023,      -5.925185347,      -6.188268379,      -5.776594692,      -5.640005712,      -13.07480786
          0,           0,          23,      -5.582641784,      -5.920701726,      -6.187108966,       -5.77542254,      -5.645330159,      -13.06548118
          0,           0,          24,      -5.579925698,       -5.91493155,      -6.183676704,      -5.772206313,      -5.643190547,      -13.05865365
          0,           0,          25,       -5.57478746,      -5.915054972,       -6.18069383,      -5.768936966,      -5.636843391,      -13.05277065
          0,           0,          26,      -5.570891005,       -5.91946135,      -6.178251538,      -5.766597615,       -5.63123313,      -13.04521181
          0,           0,          27,      -5.570172941,      -5.923959723,      -6.176839242,      -5.766081215,      -5.629375372,      -13.03482114
          0,           0,          28,      -5.570978275,      -5.923198316,      -6.175181977,      -5.766324867,      -5.630205101,       -13.0233727
          0,           0,          29,      -5.571556833,      -5.917569409,      -6.172999537,      -5.765600154,      -5.631901831,      -13.01407204
          0,           0,          30,       -5.56997988,      -5.910298004,      -6.170669765,      -5.763760842,      -5.630976252,      -13.00678098
          0,           0,          31,      -5.566728397,      -5.907201376,      -6.169381061,       -5.76150881,      -5.626869494,      -13.00278238
          0,           0,          32,      -5.563229603,      -5.909451278,      -6.168788504,      -5.759245817,      -5.621715844,      -12.99909706
          0,           0,          33,      -5.562409005,      -5.913895755,      -6.169161616,      -5.758131859,      -5.619921774,      -12.99158724
          0,           0,          34,       -5.56342991,      -5.914562149,      -6.168901565,      -5.757195781,      -5.620825194,      -12.98480724
          0,           0,          35,      -5.564456526,      -5.909706637,      -6.167804866,      -5.755642761,      -5.622586422,      -12.97728097
          0,           0,          36,      -5.563339568,      -5.902079223,      -6.166662662,      -5.752193979,      -5.622187855,      -12.96890359
          0,           0,          37,      -5.559342994,      -5.893304449,      -6.165703006,      -5.746601254,      -5.617454521,      -12.96102599
          0,           0,          38,      -5.553795722,      -5.885909339,      -6.164883411,       -5.73936034,      -5.609775785,      -12.95494743
          0,           0,          39,      -5.548908067,      -5.879099525,      -6.164537912,      -5.730818105,      -5.602858683,      -12.94465157
          0,           0,          40,      -5.544549263,      -5.867495391,      -6.163036519,      -5.720058471,      -5.596916891,      -12.93248308
          0,           0,          41,      -5.539575578,      -5.848809928,      -6.160346644,      -5.706447549,      -5.590558741,      -12.91941422
          0,           0,          42,      -5.531964794,      -5.825983822,      -6.157487079,       -5.68949698,      -5.581483295,      -12.90375421
          0,           0,          43,      -5.520297895,      -5.799570248,      -6.154246951,      -5.668937258,      -5.567696747,      -12.88534094
          0,           0,          44,      -5.505703228,      -5.770794237,      -6.150759322,      -5.645883006,      -5.550172937,      -12.86740027
          0,           0,          45,      -5.489860655,      -5.741961519,      -6.147199536,      -5.621049939,      -5.531544181,      -12.84929743
          0,           0,          46,      -5.473384491,      -5.712513973,      -6.142301517,      -5.594908769,      -5.513168964,      -12.82970699
          0,           0,          47,      -5.456362878,      -5.681507603,      -6.135619249,       -5.56820944,      -5.495016645,      -12.80941422
          0,           0,          48,      -5.438374988,      -5.650450327,      -6.128108571,      -5.541468319,      -5.476568975,       -12.7895704
          0,           0,          49,      -5.419046965,      -5.620455814,      -6.120402771,      -5.515404589,      -5.457378264,      -12.76936178
          0,           0,          50,      -5.398843626,      -5.591595184,      -6.112528965,      -5.490565377,       -5.43768889,      -12.74991956
          0,           0,          51,      -5.378998546,      -5.564858925,       -6.10489821,      -5.467337652,      -5.418715113,      -12.73238144
          0,           0,          52,      -5.360198911,      -5.540965951,      -6.097055406,      -5.445764645,      -5.401369799,       -12.7169639
          0,           0,          53,      -5.342898613,      -5.519429121,      -6.088570575,      -5.426114902,       -5.38606968,      -12.70233491
          0,           0,          54,      -5.327177364,      -5.499884488,      -6.079660648,      -5.408488174,      -5.372709063,      -12.68898908
          0,           0,          55,      -5.312891377,      -5.482437002,       -6.07117212,      -5.392939568,      -5.361049462,      -12.67704653
          0,           0,          56,      -5.299703685,      -5.466843636,      -6.063373411,      -5.379468932,      -5.350602282,        -12.666175
          0,           0,          57,      -5.287565479,      -5.453064796,      -6.056253928,      -5.367914464,      -5.341123663,      -12.65665628
          0,           0,          58,      -5.276689701,      -5.441502591,      -6.049783465,      -5.358025322,      -5.332781873,      -12.64907716
          0,           0,          59,      -5.267338825,      -5.432232528,       -6.04373057,      -5.349674444,      -5.325864813,      -12.64309941
          0,           0,          60,      -5.259724713,      -5.424719395,       -6.03767615,      -5.342860253,      -5.320629259,      -12.63819917
          0,           0,          61,       -5.25385522,       -5.41857217,      -6.031962278,       -5.33756647,      -5.317116141,      -12.63414863
          0,           0,          62,      -5.249247783,      -5.413501958,      -6.026762499,      -5.333546552,      -5.314823272,      -12.63108593
          0,           0,          63,      -5.245381415,      -5.409301115,      -6.022151356,      -5.330654697,      -5.313073376,      -12.62829313
          0,           0,          64,      -5.241919211,      -5.406112082,      -6.018068554,      -5.328613252,      -5.311353631,      -12.62636476
          0,           0,          65,      -5.239040519,      -5.404257701,      -6.014563809,      -5.327283573,      -5.309838147,      -12.62558843
