x,y,z,stream_coord,density,shock_sensor,shock_sensor_raw,radius_surface,azimuth_radians,shell_layer,ray_index,line_index,line_mode_code,prediction_error
-1.7824417382478717,0.0,0.0,-1.7824417382478717,2.5485856533050537,3.2450317988965214,9.233933222316251,0.0,0.0,0,0,9,0,0.0
-1.7824417382478717,0.25,0.0,-1.7824417382478717,2.5314371585845947,3.1478688568722686,9.213701375524522,0.25,0.0,1,0,9,1,0.0
-1.7824417382478717,0.24879618166804923,0.02450428508239015,-1.7824417382478717,2.4800703525543213,3.1189745780042255,9.02960927367759,0.25,0.09817477042468103,1,1,9,1,0.0
-1.7824417382478717,0.2451963201008076,0.04877258050403206,-1.7824417382478717,2.4708547592163086,3.183028455334492,9.154080471700604,0.25,0.19634954084936207,1,2,9,1,0.0
-1.7824417382478717,0.2392350839330522,0.07257116931361558,-1.7824417382478717,2.479278802871704,3.215036493020369,9.379889023323404,0.25,0.2945243112740431,1,3,9,1,0.0
-1.7824417382478717,0.23096988312782168,0.09567085809127245,-1.7824417382478717,2.4915928840637207,3.230739233254886,9.590387384354038,0.25,0.39269908169872414,1,4,9,1,0.0
-1.7824417382478717,0.22048031608708876,0.11784918420649941,-1.7824417382478717,2.507678508758545,3.3403584692831183,9.783548340505671,0.25,0.4908738521234052,1,5,9,1,0.0
-1.7824417382478717,0.2078674030756363,0.13889255825490054,-1.7824417382478717,2.5399537086486816,3.4489114588484315,9.849629309666238,0.25,0.5890486225480862,1,6,9,1,0.0
-3.755800631642342,0.19325261334068425,0.15859832104091137,-3.755800631642342,0.9999234676361084,0.18089964187380994,0.0003647431568556357,0.25,0.6872233929727672,1,7,1,1,0.0
-3.755800631642342,0.1767766952966369,0.17677669529663687,-3.755800631642342,0.999956488609314,0.1951516686835356,0.0003587273290707022,0.25,0.7853981633974483,1,8,1,1,0.0
-3.755800631642342,0.15859832104091137,0.19325261334068425,-3.755800631642342,0.9999893307685852,0.20516981571432613,0.0003608684275265122,0.25,0.8835729338221293,1,9,1,1,0.0
-3.755800631642342,0.13889255825490057,0.2078674030756363,-3.755800631642342,1.0000216960906982,0.19822637055681017,0.0003711458322744926,0.25,0.9817477042468103,1,10,1,1,0.0
-3.755800631642342,0.11784918420649945,0.22048031608708873,-3.755800631642342,1.000040054321289,0.1911980398370561,0.000371066394659658,0.25,1.0799224746714913,1,11,1,1,0.0
-3.755800631642342,0.09567085809127246,0.23096988312782168,-3.755800631642342,1.0000017881393433,0.18355283316894586,0.00030090266196571534,0.25,1.1780972450961724,1,12,1,1,0.0
-3.755800631642342,0.07257116931361558,0.23923508393305223,-3.755800631642342,0.9999586343765259,0.16563688909910393,0.0003017384775806206,0.25,1.2762720155208536,1,13,1,1,0.0
-3.755800631642342,0.04877258050403208,0.2451963201008076,-3.755800631642342,0.9999094009399414,0.16751319073232765,0.00038997759042624415,0.25,1.3744467859455345,1,14,1,1,0.0
-1.7824417382478717,0.024504285082390193,0.2487961816680492,-1.7824417382478717,2.594733715057373,3.326145153090719,9.237962665639483,0.25,1.4726215563702154,1,15,9,1,0.0
-1.7824417382478717,1.5308084989341915e-17,0.25,-1.7824417382478717,2.6461637020111084,3.2497795829639076,9.276486933368947,0.25,1.5707963267948966,1,16,9,1,0.0
-1.7824417382478717,-0.02450428508239016,0.24879618166804923,-1.7824417382478717,2.699965238571167,3.1304439888919915,9.305967036788454,0.25,1.6689710972195777,1,17,9,1,0.0
-1.7824417382478717,-0.04877258050403205,0.2451963201008076,-1.7824417382478717,2.8458902835845947,2.9316286133969705,8.654538652221373,0.25,1.7671458676442586,1,18,9,1,0.0
-1.7824417382478717,-0.07257116931361554,0.23923508393305223,-1.7824417382478717,2.7113025188446045,3.039783301674372,9.206464736880864,0.25,1.8653206380689396,1,19,9,1,0.0
-1.7824417382478717,-0.09567085809127243,0.23096988312782168,-1.7824417382478717,2.557939052581787,3.187460647370744,9.844349089718197,0.25,1.9634954084936207,1,20,9,1,0.0
-1.7824417382478717,-0.11784918420649942,0.22048031608708876,-1.7824417382478717,2.479175567626953,3.2310860494164646,10.005966636830706,0.25,2.061670178918302,1,21,9,1,0.0
-1.7824417382478717,-0.1388925582549005,0.20786740307563636,-1.7824417382478717,2.399996519088745,3.3067861632225837,10.148271921185193,0.25,2.1598449493429825,1,22,9,1,0.0
-1.7824417382478717,-0.15859832104091134,0.19325261334068428,-1.7824417382478717,2.361680030822754,3.4257775850677454,10.184808144882304,0.25,2.2580197197676637,1,23,9,1,0.0
-1.7824417382478717,-0.17677669529663687,0.1767766952966369,-1.7824417382478717,2.3813846111297607,3.5205162966286627,10.07996377295124,0.25,2.356194490192345,1,24,9,1,0.0
-1.7824417382478717,-0.19325261334068425,0.15859832104091137,-1.7824417382478717,2.4053714275360107,3.4428864972783106,9.947205941836533,0.25,2.454369260617026,1,25,9,1,0.0
-1.7824417382478717,-0.20786740307563634,0.13889255825490054,-1.7824417382478717,2.4334099292755127,3.368614258061245,9.787813182024628,0.25,2.552544031041707,1,26,9,1,0.0
-1.7824417382478717,-0.22048031608708873,0.11784918420649947,-1.7824417382478717,2.4652297496795654,3.302566272724805,9.60332053292546,0.25,2.650718801466388,1,27,9,1,0.0
-1.7824417382478717,-0.23096988312782168,0.09567085809127247,-1.7824417382478717,2.4730148315429688,3.1884285331339024,9.138301204679744,0.25,2.748893571891069,1,28,9,1,0.0
-1.7824417382478717,-0.2392350839330522,0.0725711693136156,-1.7824417382478717,2.4757769107818604,3.2054761495909116,9.150778156454965,0.25,2.84706834231575,1,29,9,1,0.0
-1.7824417382478717,-0.2451963201008076,0.04877258050403215,-1.7824417382478717,2.4713869094848633,3.2856996535626193,9.45915032877457,0.25,2.945243112740431,1,30,9,1,0.0
-1.7824417382478717,-0.2487961816680492,0.024504285082390206,-1.7824417382478717,2.4773964881896973,3.3934742309135286,9.766673167022164,0.25,3.043417883165112,1,31,9,1,0.0
-1.7824417382478717,-0.25,3.061616997868383e-17,-1.7824417382478717,2.5239052772521973,3.3882224392134277,9.463856102519648,0.25,3.141592653589793,1,32,9,1,0.0
-3.755800631642342,-0.24879618166804923,-0.024504285082390147,-3.755800631642342,1.0000075101852417,0.16679252599008185,0.0007571134125575903,0.25,3.2397674240144743,1,33,1,1,0.0
-3.509130769968033,-0.2451963201008076,-0.04877258050403209,-3.509130769968033,0.9999369978904724,0.16341134243419872,0.0015402586119322426,0.25,3.3379421944391554,1,34,2,1,0.0
-3.509130769968033,-0.23923508393305223,-0.07257116931361553,-3.509130769968033,1.0000121593475342,0.1547933649270882,0.001608896323363885,0.25,3.436116964863836,1,35,2,1,0.0
-1.7824417382478717,-0.2309698831278217,-0.09567085809127242,-1.7824417382478717,2.6877493858337402,3.042312566735977,8.359218490488525,0.25,3.5342917352885173,1,36,9,1,0.0
-1.7824417382478717,-0.22048031608708876,-0.11784918420649941,-1.7824417382478717,2.6791985034942627,3.054633257217611,8.560927434906104,0.25,3.6324665057131984,1,37,9,1,0.0
-1.7824417382478717,-0.20786740307563636,-0.1388925582549005,-1.7824417382478717,2.6754403114318848,2.9897694190313477,8.770666133115936,0.25,3.730641276137879,1,38,9,1,0.0
-1.7824417382478717,-0.19325261334068428,-0.15859832104091132,-1.7824417382478717,2.676510810852051,2.9310310022381425,8.986414686799428,0.25,3.8288160465625602,1,39,9,1,0.0
-1.7824417382478717,-0.17677669529663692,-0.17677669529663687,-1.7824417382478717,2.6823995113372803,3.0091238604048973,9.20609531944445,0.25,3.9269908169872414,1,40,9,1,0.0
-1.7824417382478717,-0.15859832104091148,-0.19325261334068417,-1.7824417382478717,2.678880453109741,3.0933719360593357,9.48376593792388,0.25,4.025165587411922,1,41,9,1,0.0
-1.7824417382478717,-0.13889255825490054,-0.2078674030756363,-1.7824417382478717,2.6450793743133545,3.2315874695058837,9.899640488403454,0.25,4.123340357836604,1,42,9,1,0.0
-1.7824417382478717,-0.11784918420649947,-0.22048031608708873,-1.7824417382478717,2.6234683990478516,3.270571478461771,9.978391114455247,0.25,4.221515128261284,1,43,9,1,0.0
-1.7824417382478717,-0.09567085809127258,-0.23096988312782163,-1.7824417382478717,2.5926673412323,3.1977362449735574,9.767105436938293,0.25,4.319689898685965,1,44,9,1,0.0
-1.7824417382478717,-0.07257116931361561,-0.2392350839330522,-1.7824417382478717,2.54844069480896,3.2175250372700153,9.736213481740773,0.25,4.417864669110647,1,45,9,1,0.0
-1.7824417382478717,-0.048772580504032166,-0.24519632010080758,-1.7824417382478717,2.4509737491607666,3.2859363196225058,9.76727564459448,0.25,4.516039439535327,1,46,9,1,0.0
-1.7824417382478717,-0.024504285082390113,-0.24879618166804923,-1.7824417382478717,2.3552849292755127,3.322058247866048,9.829873753320948,0.25,4.614214209960009,1,47,9,1,0.0
-1.7824417382478717,-4.592425496802574e-17,-0.25,-1.7824417382478717,2.268094778060913,3.3292620290738,9.862446829118268,0.25,4.71238898038469,1,48,9,1,0.0
-1.7824417382478717,0.024504285082390023,-0.24879618166804923,-1.7824417382478717,2.2449874877929688,3.3196986774446318,9.663299878298632,0.25,4.81056375080937,1,49,9,1,0.0
-1.7824417382478717,0.048772580504032076,-0.2451963201008076,-1.7824417382478717,2.2124762535095215,3.3980611981036715,9.780745392791426,0.25,4.908738521234052,1,50,9,1,0.0
-1.7824417382478717,0.07257116931361551,-0.23923508393305223,-1.7824417382478717,2.247015953063965,3.38975948023519,9.776974546098861,0.25,5.006913291658733,1,51,9,1,0.0
-1.7824417382478717,0.0956708580912725,-0.23096988312782166,-1.7824417382478717,2.2962701320648193,3.400298096676347,9.821781635855842,0.25,5.105088062083414,1,52,9,1,0.0
-1.7824417382478717,0.1178491842064994,-0.22048031608708876,-1.7824417382478717,2.3481593132019043,3.445227688527111,9.86065338629244,0.25,5.203262832508095,1,53,9,1,0.0
-1.7824417382478717,0.13889255825490046,-0.20786740307563636,-1.7824417382478717,2.3742847442626953,3.4618603733992126,10.013653948186974,0.25,5.301437602932776,1,54,9,1,0.0
-1.7824417382478717,0.1585983210409114,-0.19325261334068422,-1.7824417382478717,2.422637701034546,3.441470542029645,10.10747913531893,0.25,5.399612373357457,1,55,9,1,0.0
-1.7824417382478717,0.17677669529663684,-0.17677669529663692,-1.7824417382478717,2.5039336681365967,3.3997633879933926,10.024481788241241,0.25,5.497787143782138,1,56,9,1,0.0
-1.7824417382478717,0.19325261334068417,-0.15859832104091148,-1.7824417382478717,2.5853779315948486,3.3470870743752643,9.941409833014337,0.25,5.595961914206819,1,57,9,1,0.0
-1.7824417382478717,0.2078674030756363,-0.13889255825490054,-1.7824417382478717,2.6102066040039062,3.287584209163761,9.873323754582863,0.25,5.6941366846315,1,58,9,1,0.0
-1.7824417382478717,0.2204803160870887,-0.11784918420649948,-1.7824417382478717,2.619893789291382,3.2532587395218506,9.810253104505241,0.25,5.792311455056181,1,59,9,1,0.0
-1.7824417382478717,0.23096988312782163,-0.0956708580912726,-1.7824417382478717,2.6301584243774414,3.2366398750786143,9.748777210695067,0.25,5.890486225480862,1,60,9,1,0.0
-1.7824417382478717,0.2392350839330522,-0.07257116931361562,-1.7824417382478717,2.6409010887145996,3.2198665950529906,9.68948811961587,0.25,5.988660995905543,1,61,9,1,0.0
-1.7824417382478717,0.24519632010080758,-0.04877258050403218,-1.7824417382478717,2.6500930786132812,3.2295024520533615,9.626853379870001,0.25,6.086835766330224,1,62,9,1,0.0
-1.7824417382478717,0.24879618166804923,-0.024504285082390127,-1.7824417382478717,2.590155839920044,3.1814692784535,9.41728327177955,0.25,6.1850105367549055,1,63,9,1,0.0
-1.7824417382478712,0.5,0.0,-1.7824417382478712,2.327083110809326,3.461142089216237,9.968443095695287,0.5,0.0,2,0,8,2,0.0
-1.7824417382478712,0.49759236333609846,0.0490085701647803,-1.7824417382478712,2.352107524871826,3.192363343678572,8.730149078994176,0.5,0.09817477042468103,2,1,8,2,0.0
-1.7824417382478712,0.4903926402016152,0.09754516100806412,-1.7824417382478712,2.374180793762207,3.039066044197878,8.437198302153583,0.5,0.19634954084936207,2,2,8,2,0.0
-1.7824417382478712,0.4784701678661044,0.14514233862723117,-1.7824417382478712,2.3734395503997803,2.9829640063934555,9.085294841955177,0.5,0.2945243112740431,2,3,8,2,0.0
-1.7824417382478712,0.46193976625564337,0.1913417161825449,-1.7824417382478712,2.3648695945739746,3.209032192864023,9.988519414469705,0.5,0.39269908169872414,2,4,8,2,0.0
-1.7824417382478712,0.4409606321741775,0.23569836841299882,-1.7824417382478712,2.405186891555786,3.2140943850687527,9.266594239444036,0.5,0.4908738521234052,2,5,8,2,0.0
-1.7824417382478712,0.4157348061512726,0.2777851165098011,-1.7824417382478712,2.596351146697998,3.4035115070661632,9.16784705511035,0.5,0.5890486225480862,2,6,8,2,0.0
-5.612949798033945,0.1942919096217211,0.9767713902418242,-5.612949798033945,0.999995768070221,3.4257206630449382e-06,3.651901325232139e-06,0.5,1.3744467859455345,2,14,10,2,0.5
-1.7824417382478712,0.049008570164780385,0.4975923633360984,-1.7824417382478712,2.4440858364105225,2.928864930313876,8.415425451487824,0.5,1.4726215563702154,2,15,8,2,0.0
