x,y,z,density,shock_sensor,shock_sensor_raw,radius_yz,spiral_step,shell_layer,line_index,bin_i,bin_j
-1.75,0.0,0.0,2.9664199352264404,5.444654513974587,8.226771208752865,0.0,0,0,19,90,90
-1.75,-0.125,-0.125,3.0385923385620117,5.19289761480624,9.356878912341033,0.1767766952966369,1,1,19,89,89
-1.75,-0.125,0.0,3.0085277557373047,5.778640707563793,9.410688318927193,0.125,2,1,19,89,90
-1.75,-0.125,0.125,3.0384480953216553,5.652432434317771,8.774456356067246,0.1767766952966369,3,1,19,89,91
-1.75,0.0,0.125,2.9344727993011475,5.1232253032306065,7.92720795788969,0.125,4,1,19,90,91
-1.75,0.125,0.125,2.9041004180908203,5.018866404671719,7.917436339595077,0.1767766952966369,5,1,19,91,91
-1.75,0.125,0.0,2.8835678100585938,5.253369331041156,8.282551170277811,0.125,6,1,19,91,90
-1.75,0.125,-0.125,3.025832176208496,5.610735075187089,9.86294629374274,0.1767766952966369,7,1,19,91,89
-1.75,0.0,-0.125,2.8259968757629395,5.663012000086294,9.0696512810589,0.125,8,1,19,90,89
-1.75,-0.25,-0.25,3.076272964477539,6.114345652611684,10.95996434587113,0.3535533905932738,9,2,19,88,88
-1.75,-0.25,-0.125,3.103915214538574,5.826201448035269,9.57655416410184,0.2795084971874737,10,2,19,88,89
-1.75,-0.25,0.0,2.9432296752929688,5.899790571017558,9.1691767891864,0.25,11,2,19,88,90
-1.75,-0.25,0.125,2.797139883041382,5.145906687111253,7.847756680366972,0.2795084971874737,12,2,19,88,91
-1.75,-0.25,0.25,2.7718544006347656,5.676680114033356,10.44157739606419,0.3535533905932738,13,2,19,88,92
-1.75,-0.125,0.25,3.1529905796051025,5.143720813547031,9.491522540857396,0.2795084971874737,14,2,19,89,92
-1.75,0.0,0.25,3.235668897628784,5.548465939189342,8.585265390009274,0.25,15,2,19,90,92
-1.75,0.125,0.25,3.1734488010406494,5.428066391778695,8.51492578058779,0.2795084971874737,16,2,19,91,92
-1.75,0.25,0.25,2.818504571914673,5.708334624312792,9.497950063312963,0.3535533905932738,17,2,19,92,92
-1.75,0.25,0.125,2.9633796215057373,5.61197238946554,9.134959715588886,0.2795084971874737,18,2,19,92,91
-1.75,0.25,0.0,3.1029229164123535,5.754072227561068,8.94088562822618,0.25,19,2,19,92,90
-1.75,0.25,-0.125,3.217052459716797,5.742441697486078,9.634234239254399,0.2795084971874737,20,2,19,92,89
-1.75,0.25,-0.25,2.768256187438965,5.185307743573086,8.446834514361491,0.3535533905932738,21,2,19,92,88
-1.75,0.125,-0.25,2.7457945346832275,5.45990421796891,9.544587615243268,0.2795084971874737,22,2,19,91,88
-1.75,0.0,-0.25,2.6799354553222656,5.766140485421126,9.729076039718379,0.25,23,2,19,90,88
-1.75,-0.125,-0.25,3.0318472385406494,5.542087494595247,9.097419333929333,0.2795084971874737,24,2,19,89,88
-1.75,-0.375,-0.375,2.6016616821289062,6.342970523168944,10.680491258921451,0.5303300858899106,25,3,19,87,87
-1.75,-0.375,-0.25,2.786219835281372,6.368274149804997,11.353294748081485,0.45069390943299864,26,3,19,87,88
-1.75,-0.375,-0.125,3.331921339035034,6.652428786109957,10.715503412558839,0.39528470752104744,27,3,19,87,89
-1.75,-0.375,0.0,3.0143814086914062,5.905000896061011,8.478709334319133,0.375,28,3,19,87,90
-1.75,-0.375,0.125,3.042748212814331,5.820534726481346,8.95834196615973,0.39528470752104744,29,3,19,87,91
-1.75,-0.375,0.25,2.811009407043457,5.710835925749629,8.423837990034407,0.45069390943299864,30,3,19,87,92
-1.75,-0.375,0.375,2.7749383449554443,5.362165227379182,7.037035718078571,0.5303300858899106,31,3,19,87,93
-1.75,-0.25,0.375,2.790919780731201,5.261328628747166,8.66759829435966,0.45069390943299864,32,3,19,88,93
-1.75,-0.125,0.375,3.1678569316864014,5.629132550195655,8.914577965645954,0.39528470752104744,33,3,19,89,93
-1.75,0.0,0.375,3.0633652210235596,5.798160618270923,9.066159854517075,0.375,34,3,19,90,93
