"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -4.660596446,      -4.666141774,      -5.115065577,      -5.114554673,      -4.389835118,      -11.72344651
          0,           0,          55,      -4.647526858,      -4.643597099,      -5.096452022,      -5.095907595,      -4.377107273,      -11.71382677
          0,           0,          56,       -4.63577705,      -4.623144901,       -5.07732932,      -5.076737873,       -4.36627819,      -11.70073911
          0,           0,          57,      -4.623900963,      -4.603277358,      -5.058956592,       -5.05836874,      -4.355495488,      -11.69164823
          0,           0,          58,      -4.612753624,      -4.584863729,      -5.041248335,      -5.040636795,      -4.346107401,      -11.68042586
          0,           0,          59,      -4.601633154,      -4.568600161,      -5.024478007,       -5.02390373,      -4.336596543,      -11.66923895
          0,           0,          60,      -4.590516964,      -4.554532238,      -5.007971134,       -5.00739622,      -4.327107269,      -11.66201504
          0,           0,          61,      -4.581226511,      -4.542856246,      -4.993023192,      -4.992507308,      -4.319880955,      -11.65175574
          0,           0,          62,      -4.572294389,      -4.532217817,       -4.97939532,      -4.978896675,       -4.31291876,      -11.64591239
          0,           0,          63,      -4.564715784,      -4.522895316,      -4.967118125,      -4.966669548,      -4.307961871,      -11.63850556
          0,           0,          64,      -4.557491426,      -4.515272128,      -4.956121807,      -4.955709231,       -4.30311151,      -11.63110502
          0,           0,          65,      -4.550466222,      -4.509353255,      -4.945987506,      -4.945618458,      -4.298361981,      -11.62704101
          0,           0,          66,      -4.545014617,      -4.505406069,      -4.937440225,      -4.937123182,      -4.295469121,      -11.62031937
          0,           0,          67,      -4.539984373,      -4.502247665,      -4.929964526,      -4.929683479,      -4.292725381,      -11.61767921
          0,           0,          68,      -4.536350301,      -4.499974141,      -4.923714853,      -4.923483706,      -4.291969156,       -11.6135727
          0,           0,          69,      -4.533034122,       -4.49886636,      -4.918307214,      -4.918105394,      -4.291065598,      -11.60938649
          0,           0,          70,      -4.529952001,      -4.498868479,      -4.913589231,      -4.913424994,      -4.290159635,      -11.60822787
          0,           0,          71,      -4.528310044,       -4.50033212,      -4.909936403,      -4.909802344,      -4.290790438,      -11.60420774
          0,           0,          72,      -4.526828298,      -4.502059082,      -4.906572171,      -4.906452017,      -4.291071165,      -11.60447264
          0,           0,          73,      -4.526702473,      -4.504232471,       -4.90404758,      -4.903954606,      -4.293269252,      -11.60279653
          0,           0,          74,      -4.526482017,       -4.50705514,      -4.901617661,      -4.901538853,      -4.294731199,      -11.60119596
          0,           0,          75,       -4.52626433,      -4.510451414,       -4.89970254,        -4.8996551,      -4.296043912,      -11.60232087
          0,           0,          76,      -4.527107661,      -4.514962383,      -4.898303205,      -4.898286262,      -4.298605584,      -11.60024281
          0,           0,          77,      -4.527566911,      -4.519260807,      -4.896947348,      -4.896932437,      -4.300280355,      -11.60257189
          0,           0,          78,      -4.529147234,      -4.523797137,      -4.896150175,      -4.896147441,      -4.303816734,       -11.6022849
          0,           0,          79,      -4.530161844,      -4.528556796,      -4.895173449,      -4.895160134,      -4.306070706,      -11.60236752
          0,           0,          80,      -4.531007898,      -4.533515552,      -4.894585995,      -4.894593611,      -4.308108337,      -11.60471168
          0,           0,          81,      -4.532656804,      -4.539429362,      -4.894166936,      -4.894170631,      -4.311153024,      -11.60349307
          0,           0,          82,      -4.533579501,      -4.544793711,      -4.893778967,      -4.893798194,      -4.312929076,      -11.60660454
          0,           0,          83,      -4.535537027,      -4.550369778,      -4.893777128,      -4.893788828,      -4.316637782,      -11.60625074
