"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -8.002443154,      -8.068591086,      -8.528412624,      -8.558786457,      -8.133808982,      -9.832407002
          0,           0,           1,      -8.004747657,      -8.070632585,      -8.531016655,      -8.560952067,      -8.137550328,       -9.83196269
          0,           0,           2,      -8.007532718,      -8.073237452,      -8.533473718,      -8.562873286,      -8.141948472,      -9.831429432
          0,           0,           3,      -8.010765375,      -8.076381793,      -8.535657356,      -8.564402901,       -8.14693235,      -9.830794571
          0,           0,           4,      -8.014269185,       -8.07987801,      -8.537435912,      -8.565390287,       -8.15222601,      -9.830045278
          0,           0,           5,      -8.017642527,      -8.083281628,      -8.538677924,      -8.565693821,      -8.157233007,      -9.829169369
