"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -5.329754453,      -16.04725196,      -16.49054587,      -15.98433841,       -5.12262896,      -12.31057835
          0,           0,           1,      -5.482084846,      -5.708471728,      -6.446586999,      -5.585921763,      -5.280691495,      -12.31230786
          0,           0,           2,      -5.510696672,      -5.767572126,      -6.437831315,       -5.62827761,       -5.30462254,        -12.554296
          0,           0,           3,      -5.537711222,      -5.819976324,      -6.390900423,      -5.671865855,      -5.326026743,      -12.70258123
          0,           0,           4,      -5.568078279,      -5.848745314,      -6.328084174,      -5.719266549,      -5.351347132,      -12.80054878
          0,           0,           5,      -5.605032451,      -5.838093894,      -6.267113455,      -5.770156121,      -5.385267186,      -12.85761093
          0,           0,           6,      -5.642602722,      -5.804810322,       -6.22369692,      -5.810939721,      -5.421639732,      -12.88436597
          0,           0,           7,      -5.657546903,      -5.785503261,      -6.199819518,      -5.818223144,      -5.430739674,       -12.9025745
          0,           0,           8,      -5.640837927,      -5.791000002,       -6.18367898,      -5.798118137,      -5.401298745,      -12.90468683
          0,           0,           9,      -5.621234634,      -5.806746409,      -6.163095333,      -5.785540245,      -5.370799303,      -12.89672656
          0,           0,          10,      -5.618176202,      -5.813119019,       -6.14636908,      -5.794018162,       -5.36334554,      -12.88119072
          0,           0,          11,      -5.629811036,      -5.808516041,      -6.140673747,      -5.813124092,      -5.376351641,      -12.86466077
          0,           0,          12,      -5.645144895,      -5.805933695,      -6.146193683,      -5.829167832,      -5.396035129,      -12.85301214
          0,           0,          13,      -5.655324939,      -5.815075681,      -6.156932616,      -5.836943688,      -5.409017421,      -12.84354565
          0,           0,          14,      -5.659477945,      -5.831808495,      -6.167132689,      -5.840786773,      -5.413257822,      -12.83357146
          0,           0,          15,      -5.662367641,      -5.843245504,      -6.173445629,      -5.845718384,      -5.416139209,      -12.82341797
          0,           0,          16,      -5.666188452,      -5.845241982,      -6.176762685,      -5.851280179,      -5.420786379,      -12.81466319
          0,           0,          17,      -5.669645564,       -5.84662247,      -6.178342855,      -5.854218506,      -5.425046833,      -12.80768111
          0,           0,          18,      -5.671457742,      -5.852271712,      -6.179689106,      -5.855026773,      -5.427112638,      -12.80127116
          0,           0,          19,       -5.67227727,       -5.85675113,      -6.180407046,      -5.856277854,      -5.428008715,      -12.79540269
          0,           0,          20,      -5.672744795,        -5.8558685,      -6.180488062,      -5.858716031,       -5.42859186,      -12.79027441
          0,           0,          21,      -5.673454085,      -5.854431589,      -6.180071975,      -5.860876878,      -5.429374584,       -12.7851883
          0,           0,          22,      -5.673017447,      -5.855521175,      -6.179194746,      -5.861226096,      -5.428589147,      -12.78089627
          0,           0,          23,      -5.672442338,      -5.857235754,       -6.17819227,       -5.86086441,      -5.427757256,      -12.77647455
          0,           0,          24,      -5.671775926,      -5.855504988,      -6.176975732,      -5.860988707,      -5.426896026,       -12.7729884
          0,           0,          25,      -5.671262845,      -5.852940161,      -6.175930359,      -5.861662853,      -5.426185919,      -12.76911523
          0,           0,          26,      -5.670271727,      -5.852247927,        -6.1747581,      -5.861865358,       -5.42475546,      -12.76611946
          0,           0,          27,      -5.669314964,      -5.852917649,      -6.173349952,      -5.861264391,      -5.423452064,      -12.76299569
          0,           0,          28,      -5.668516413,      -5.851588247,      -6.171940015,      -5.860335094,      -5.422525747,      -12.76016068
          0,           0,          29,      -5.667746894,      -5.848650976,      -6.170788209,       -5.85957423,      -5.421646738,      -12.75751478
          0,           0,          30,      -5.666672022,      -5.846865743,      -6.169779993,        -5.8588389,       -5.42023186,      -12.75499213
          0,           0,          31,      -5.665379057,      -5.846431006,      -6.168639823,      -5.857790826,      -5.418506711,      -12.75289123
          0,           0,          32,      -5.664354881,      -5.845391266,       -6.16728112,      -5.855916369,      -5.417255856,      -12.75019806
          0,           0,          33,      -5.663117791,      -5.841975161,      -6.165835558,      -5.853050733,      -5.415866376,       -12.7480471
          0,           0,          34,      -5.661771249,      -5.838361393,      -6.164592681,      -5.849396287,      -5.414214486,      -12.74442143
          0,           0,          35,      -5.659356439,      -5.834825928,      -6.162987507,      -5.844456196,      -5.411007449,      -12.74175757
          0,           0,          36,      -5.656724141,      -5.830848334,      -6.160941708,      -5.837570421,      -5.407475311,      -12.73679652
          0,           0,          37,      -5.653194431,      -5.823527243,      -6.158032605,      -5.827421753,      -5.402771101,      -12.73212961
          0,           0,          38,      -5.648694636,      -5.813187922,      -6.154448911,      -5.813371479,      -5.396806106,      -12.72409913
          0,           0,          39,      -5.642176301,      -5.800204736,      -6.149585241,      -5.795011073,      -5.388004923,      -12.71502667
          0,           0,          40,      -5.633524638,      -5.784443687,      -6.143139537,      -5.772149228,      -5.376424086,       -12.7029464
          0,           0,          41,      -5.622566981,      -5.764419854,      -6.134383614,      -5.744578555,      -5.362044698,      -12.68849274
          0,           0,          42,      -5.609063436,      -5.739719358,      -6.123194366,      -5.712576829,       -5.34485087,      -12.67129361
          0,           0,          43,      -5.592790013,      -5.711572166,      -6.109319555,      -5.677176317,      -5.324750022,      -12.65086097
          0,           0,          44,       -5.57350833,      -5.680950272,      -6.092638228,      -5.639738366,      -5.301668182,      -12.62856957
          0,           0,          45,      -5.551917094,      -5.648713918,      -6.073265488,      -5.601525015,      -5.276717935,       -12.6045167
          0,           0,          46,      -5.528529583,      -5.615239278,       -6.05146348,      -5.563514114,      -5.250674339,       -12.5796513
          0,           0,          47,      -5.504044503,      -5.581719499,      -6.027896933,      -5.526496958,      -5.224387978,      -12.55421705
          0,           0,          48,      -5.478840527,      -5.549002169,      -6.003067954,      -5.491193593,      -5.198238525,      -12.52905414
          0,           0,          49,       -5.45368368,      -5.517885205,      -5.977724416,      -5.458186179,      -5.172955758,      -12.50453519
          0,           0,          50,      -5.429063738,      -5.488550469,      -5.952327701,      -5.427777207,       -5.14897797,      -12.48152998
          0,           0,          51,      -5.405619658,      -5.461363965,      -5.927525516,      -5.400128398,      -5.126875084,      -12.45976638
          0,           0,          52,      -5.383501745,      -5.436466907,      -5.903591839,      -5.375234416,      -5.106654305,       -12.4399161
          0,           0,          53,      -5.363030313,      -5.414066276,      -5.880948628,      -5.353130833,      -5.088533425,      -12.42171146
          0,           0,          54,      -5.344286975,      -5.394105507,       -5.85971284,      -5.333760114,      -5.072454954,      -12.40549731
          0,           0,          55,      -5.327418694,      -5.376529475,      -5.840068704,      -5.317022948,      -5.058488433,      -12.39121514
          0,           0,          56,      -5.312439376,      -5.361225255,      -5.822010285,      -5.302753542,      -5.046560544,      -12.37872573
          0,           0,          57,      -5.299301018,      -5.348109889,      -5.805575932,      -5.290764538,       -5.03653373,      -12.36806234
          0,           0,          58,      -5.287931851,      -5.337023813,      -5.790688336,      -5.280885268,       -5.02827851,      -12.35904422
          0,           0,          59,      -5.278254865,       -5.32782592,      -5.777320355,      -5.272951789,      -5.021645973,      -12.35153349
          0,           0,          60,      -5.270123293,      -5.320301795,      -5.765323112,      -5.266773431,      -5.016446658,      -12.34558812
          0,           0,          61,      -5.263492385,      -5.314355397,       -5.75464377,      -5.262173003,      -5.012613968,      -12.34075816
          0,           0,          62,      -5.258145193,      -5.309763863,      -5.745119245,      -5.258946682,      -5.009878517,      -12.33727484
          0,           0,          63,       -5.25403744,      -5.306422846,      -5.736691172,       -5.25694343,      -5.008213484,      -12.33463378
          0,           0,          64,      -5.250949721,      -5.304105477,      -5.729199071,      -5.256008019,      -5.007347067,      -12.33299603
          0,           0,          65,      -5.248819801,      -5.302727048,       -5.72256862,       -5.25600346,      -5.007242185,      -12.33203811
          0,           0,          66,      -5.247488987,      -5.302119487,      -5.716668373,      -5.256793379,      -5.007720617,      -12.33174472
          0,           0,          67,      -5.246869871,      -5.302184389,      -5.711422897,      -5.258242013,      -5.008714616,      -12.33194516
          0,           0,          68,      -5.246833919,      -5.302753641,       -5.70672577,       -5.26024486,      -5.010102726,      -12.33255338
          0,           0,          69,      -5.247284757,      -5.303741751,      -5.702507134,      -5.262710881,      -5.011794278,       -12.3334195
          0,           0,          70,      -5.248112258,      -5.305050664,       -5.69868022,      -5.265553824,      -5.013685065,      -12.33453237
