"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -5.302695786,      -16.07235223,      -17.07991981,      -16.14824028,      -5.411840255,      -12.81080859
          0,           0,           1,      -5.450379679,      -5.593581548,      -6.433848285,      -5.623693366,       -5.56956992,      -12.76799269
          0,           0,           2,      -5.469209564,      -5.678253129,      -6.506447358,      -5.678004295,      -5.574030158,      -12.97944714
          0,           0,           3,      -5.474104327,      -5.738045759,      -6.524714676,      -5.709742262,      -5.569032112,      -13.08557745
          0,           0,           4,      -5.474403512,      -5.792740546,      -6.491150564,      -5.740399172,      -5.562078743,       -13.1613086
          0,           0,           5,      -5.476972808,       -5.85054618,      -6.432906649,      -5.774743856,      -5.559159869,      -13.21533437
          0,           0,           6,      -5.485868128,      -5.902906739,      -6.369916222,      -5.810620399,      -5.564301353,      -13.24633547
          0,           0,           7,      -5.502807703,      -5.916484322,      -6.303959596,      -5.840233402,      -5.579247039,      -13.25750398
          0,           0,           8,      -5.526532775,      -5.880081584,      -6.239964182,      -5.849450167,      -5.602285643,      -13.25132536
          0,           0,           9,      -5.544698088,      -5.827582543,       -6.18608144,      -5.832526723,      -5.617322718,      -13.23950881
          0,           0,          10,       -5.53757307,      -5.786090973,      -6.141125672,      -5.789122217,      -5.601449812,      -13.22176216
          0,           0,          11,      -5.501942997,      -5.765329471,      -6.105004744,      -5.742379104,       -5.55289739,      -13.20426555
          0,           0,          12,      -5.458901413,      -5.772405005,      -6.075531563,      -5.706339835,      -5.499025756,      -13.19081386
          0,           0,          13,      -5.427012277,      -5.798231743,      -6.049952748,      -5.687086296,      -5.461293905,       -13.1817287
          0,           0,          14,      -5.414793159,      -5.813360251,      -6.030661158,      -5.688315046,      -5.447180039,      -13.16683867
          0,           0,          15,      -5.422307645,      -5.802627999,      -6.024514701,      -5.705480674,      -5.455041434,       -13.1427391
          0,           0,          16,      -5.444949563,      -5.788746953,      -6.035007825,      -5.729513367,      -5.479971678,      -13.11827175
          0,           0,          17,      -5.472201912,      -5.790624899,      -6.055813656,      -5.747716478,      -5.512095217,      -13.10088528
          0,           0,          18,      -5.492867426,      -5.806547825,      -6.076648955,      -5.756825869,      -5.538969075,      -13.09364984
          0,           0,          19,      -5.503022179,      -5.831433002,      -6.093974671,      -5.761434319,      -5.552824777,       -13.0913092
          0,           0,          20,      -5.506519831,      -5.858725265,      -6.107113741,      -5.764985585,      -5.556285706,      -13.08468838
          0,           0,          21,      -5.511771895,      -5.882594727,      -6.118369781,      -5.769151132,      -5.561577308,      -13.07326029
          0,           0,          22,       -5.52063525,      -5.899416156,      -6.125915805,      -5.771724447,      -5.572300091,      -13.05861717
          0,           0,          23,      -5.528142017,      -5.906224558,      -6.127565685,      -5.771463491,       -5.58291447,      -13.04419705
          0,           0,          24,      -5.531247971,        -5.9017088,      -6.123697799,      -5.768771998,      -5.589235591,      -13.03145002
          0,           0,          25,      -5.528679374,      -5.892757077,      -6.117755924,      -5.764848327,      -5.587787609,      -13.02330084
          0,           0,          26,       -5.52176374,      -5.887487706,      -6.112778606,      -5.760767533,      -5.579025563,      -13.01664849
          0,           0,          27,      -5.515067252,      -5.889653933,       -6.11128834,      -5.758465704,      -5.569600894,      -13.00839595
          0,           0,          28,      -5.511809856,      -5.895559957,      -6.111543979,      -5.757646353,      -5.564461043,       -12.9985033
          0,           0,          29,      -5.512389458,      -5.900268894,      -6.111748628,      -5.757254988,      -5.564650028,       -12.9885031
          0,           0,          30,      -5.514668421,      -5.899178379,      -6.110289888,      -5.756421176,      -5.568105277,      -12.97666029
          0,           0,          31,       -5.51639891,      -5.891917231,      -6.107509108,      -5.754977238,      -5.571575058,      -12.96635338
          0,           0,          32,      -5.514758896,      -5.882506294,      -6.104311925,      -5.752568783,      -5.570306007,      -12.95990279
          0,           0,          33,       -5.51074674,      -5.877629626,      -6.103196269,       -5.75057547,      -5.564994295,      -12.95366866
