x,y
2.461964136222092314e+00,-5.770926628851007933e+00
2.356150168348941421e+00,-5.628271256231379027e+00
2.242902612639151361e+00,-5.540819219123495287e+00
2.085868542188207275e+00,-5.452808056615900512e+00
1.922524751439202761e+00,-5.289678215923509619e+00
1.750559686673921700e+00,-5.253950885421007300e+00
1.593389356337130858e+00,-5.043504016682961222e+00
1.417666943504952259e+00,-5.010191934506352140e+00
1.270866638210870647e+00,-4.792427863336491178e+00
1.099680362620094387e+00,-4.763519031717917684e+00
9.682545801618575032e-01,-4.556993978307106730e+00
8.110031947317685175e-01,-4.518382191715040186e+00
6.926850471083110250e-01,-4.300001195441854662e+00
5.492493048878863693e-01,-4.273031524306505347e+00
4.413369944190475569e-01,-4.057762162968971964e+00
3.134854809754376026e-01,-4.039659006312033895e+00
2.144124419123419611e-01,-3.802425265255174658e+00
1.015416632802652319e-01,-3.787524444773337162e+00
1.702020187115995536e-02,-3.559128642025194189e+00
-8.081631647667143759e-02,-3.524243167525499487e+00
-1.522079025830078147e-01,-3.319779753627977836e+00
-2.353031095444161336e-01,-3.274232540868831087e+00
-2.961369739866936968e-01,-3.086208905435490202e+00
-3.673748147720393153e-01,-3.026603034621446753e+00
-4.222495080494136355e-01,-2.821111389511853584e+00
-4.836279828930190594e-01,-2.774233392363755879e+00
-5.305125951993650002e-01,-2.583462987570282365e+00
-5.770337848951597737e-01,-2.553020528441636738e+00
-6.112148327835335015e-01,-2.338558316173754204e+00
-6.523220279502672803e-01,-2.308901020515785607e+00
-6.803360915741707426e-01,-2.089933344239026880e+00
-7.159195799825992523e-01,-2.068732176565241776e+00
-7.414217828939135835e-01,-1.831949668214181370e+00
-7.723963424449845627e-01,-1.823114327079027097e+00
-8.002029112893146445e-01,-1.588641422192508701e+00
-8.330278757028163339e-01,-1.582058506295541012e+00
-8.558757788690858348e-01,-1.337994030600755613e+00
-8.836760687460800678e-01,-1.325105117843011104e+00
-9.024545359339625206e-01,-1.112501936356479870e+00
-9.262520116456757213e-01,-1.103169530573091972e+00
-9.434526174054816972e-01,-8.614948830396240709e-01
-9.643059728880801762e-01,-8.610862494085211871e-01
-9.791583965276751123e-01,-6.047734733176779454e-01
-9.944291100148643370e-01,-6.040652577328133876e-01
-1.004465617732477556e+00,-3.554864283080915732e-01
-1.014493909685052708e+00,-3.492339283265933347e-01
-1.019294690997738950e+00,-1.360436264919686888e-01
-1.024084821099875198e+00,-1.131923100816047967e-01
-1.024875007394782767e+00,0.000000000000000000e+00
-1.024084821099875198e+00,1.131923100816047967e-01
-1.019294690997738950e+00,1.360436264919686888e-01
-1.014493909685052708e+00,3.492339283265933347e-01
-1.004465617732477556e+00,3.554864283080915732e-01
-9.944291100148643370e-01,6.040652577328133876e-01
-9.791583965276751123e-01,6.047734733176779454e-01
-9.643059728880801762e-01,8.610862494085211871e-01
-9.434526174054816972e-01,8.614948830396240709e-01
-9.262520116456757213e-01,1.103169530573091972e+00
-9.024545359339625206e-01,1.112501936356479870e+00
-8.836760687460800678e-01,1.325105117843011104e+00
-8.558757788690858348e-01,1.337994030600755613e+00
-8.330278757028163339e-01,1.582058506295541012e+00
-8.002029112893146445e-01,1.588641422192508701e+00
-7.723963424449845627e-01,1.823114327079027097e+00
-7.414217828939135835e-01,1.831949668214181370e+00
-7.159195799825992523e-01,2.068732176565241776e+00
-6.803360915741707426e-01,2.089933344239026880e+00
-6.523220279502672803e-01,2.308901020515785607e+00
-6.112148327835335015e-01,2.338558316173754204e+00
-5.770337848951597737e-01,2.553020528441636738e+00
-5.305125951993650002e-01,2.583462987570282365e+00
-4.836279828930190594e-01,2.774233392363755879e+00
-4.222495080494136355e-01,2.821111389511853584e+00
-3.673748147720393153e-01,3.026603034621446753e+00
-2.961369739866936968e-01,3.086208905435490202e+00
-2.353031095444161336e-01,3.274232540868831087e+00
-1.522079025830078147e-01,3.319779753627977836e+00
-8.081631647667143759e-02,3.524243167525499487e+00
1.702020187115995536e-02,3.559128642025194189e+00
1.015416632802652319e-01,3.787524444773337162e+00
2.144124419123419611e-01,3.802425265255174658e+00
3.134854809754376026e-01,4.039659006312033895e+00
4.413369944190475569e-01,4.057762162968971964e+00
5.492493048878863693e-01,4.273031524306505347e+00
6.926850471083110250e-01,4.300001195441854662e+00
8.110031947317685175e-01,4.518382191715040186e+00
9.682545801618575032e-01,4.556993978307106730e+00
1.099680362620094387e+00,4.763519031717917684e+00
1.270866638210870647e+00,4.792427863336491178e+00
1.417666943504952259e+00,5.010191934506352140e+00
1.593389356337130858e+00,5.043504016682961222e+00
1.750559686673921700e+00,5.253950885421007300e+00
1.922524751439202761e+00,5.289678215923509619e+00
2.085868542188207275e+00,5.452808056615900512e+00
2.242902612639151361e+00,5.540819219123495287e+00
2.356150168348941421e+00,5.628271256231379027e+00
2.461964136222092314e+00,5.770926628851007933e+00
