x,y
1.977200086635456433e+00,-5.338390613240854066e+00
1.882630224663735863e+00,-5.199411859469753594e+00
1.783943964279587124e+00,-5.086538801235811924e+00
1.644866019781795918e+00,-5.026675419083662888e+00
1.505653452330228070e+00,-4.856961259884493565e+00
1.357844766904791056e+00,-4.834150304751736016e+00
1.228411211718388074e+00,-4.610320441424846649e+00
1.077309656078549560e+00,-4.609415521579128594e+00
9.580572062253223109e-01,-4.361432202160358429e+00
8.132086497554985582e-01,-4.330473773181438446e+00
7.075958914461303317e-01,-4.104257627257278607e+00
5.746899146588211327e-01,-4.103098553206239174e+00
4.778684672751308815e-01,-3.881291705582822882e+00
3.623990891790223601e-01,-3.870409819696630560e+00
2.785719701029076290e-01,-3.612195209733077395e+00
1.723770629511324759e-01,-3.604594001812594151e+00
9.589606765690419921e-02,-3.375552221068313319e+00
2.363489130726276893e-02,-3.361550457775592804e+00
-2.380724327619222411e-02,-3.121669710746832749e+00
-8.334225913690328225e-02,-3.085979894867965090e+00
-1.262677338079800371e-01,-2.877664609679154051e+00
-1.787879121519611592e-01,-2.804836808570793760e+00
-2.123463878798988180e-01,-2.629809014499186581e+00
-2.437935785595824467e-01,-2.537669819380556024e+00
-2.780264705587243146e-01,-2.354100202875477610e+00
-3.015628017246355652e-01,-2.294174099607127371e+00
-3.015628017246355652e-01,-2.076681521322046198e+00
-3.015628017246355652e-01,-2.048038762594972528e+00
-3.015628017246355652e-01,-1.823061152228287352e+00
-3.015628017246355652e-01,-1.822664898421083146e+00
-3.015628017246355652e-01,-1.587671781224863965e+00
-3.053073905473702165e-01,-1.547635036919797979e+00
-3.164327472573447153e-01,-1.362392713981015246e+00
-3.316647336924370415e-01,-1.305583946406841278e+00
-3.530474974252258424e-01,-1.126829299543585128e+00
-3.750127752376209433e-01,-1.058582330388682102e+00
-3.935275113753147203e-01,-8.652082649724821550e-01
-4.280662812882671253e-01,-8.102848444666179706e-01
-4.583480828955560082e-01,-6.320898830890655518e-01
-5.047021075300723858e-01,-5.948038037334169026e-01
-5.473814064272510826e-01,-3.790674188307353032e-01
-5.891777889648249777e-01,-3.671476777110780354e-01
-6.289476829307439898e-01,-1.262117304972239507e-01
-6.654871260527591703e-01,-1.142919893775667384e-01
-6.843546679993065540e-01,0.000000000000000000e+00
-6.654871260527591703e-01,1.142919893775667384e-01
-6.289476829307439898e-01,1.262117304972239507e-01
-5.891777889648249777e-01,3.671476777110780354e-01
-5.473814064272510826e-01,3.790674188307353032e-01
-5.047021075300723858e-01,5.948038037334169026e-01
-4.583480828955560082e-01,6.320898830890655518e-01
-4.280662812882671253e-01,8.102848444666179706e-01
-3.935275113753147203e-01,8.652082649724821550e-01
-3.750127752376209433e-01,1.058582330388682102e+00
-3.530474974252258424e-01,1.126829299543585128e+00
-3.316647336924370415e-01,1.305583946406841278e+00
-3.164327472573447153e-01,1.362392713981015246e+00
-3.053073905473702165e-01,1.547635036919797979e+00
-3.015628017246355652e-01,1.587671781224863965e+00
-3.015628017246355652e-01,1.822664898421083146e+00
-3.015628017246355652e-01,1.823061152228287352e+00
-3.015628017246355652e-01,2.048038762594972528e+00
-3.015628017246355652e-01,2.076681521322046198e+00
-3.015628017246355652e-01,2.294174099607127371e+00
-2.780264705587243146e-01,2.354100202875477610e+00
-2.437935785595824467e-01,2.537669819380556024e+00
-2.123463878798988180e-01,2.629809014499186581e+00
-1.787879121519611592e-01,2.804836808570793760e+00
-1.262677338079800371e-01,2.877664609679154051e+00
-8.334225913690328225e-02,3.085979894867965090e+00
-2.380724327619222411e-02,3.121669710746832749e+00
2.363489130726276893e-02,3.361550457775592804e+00
9.589606765690419921e-02,3.375552221068313319e+00
1.723770629511324759e-01,3.604594001812594151e+00
2.785719701029076290e-01,3.612195209733077395e+00
3.623990891790223601e-01,3.870409819696630560e+00
4.778684672751308815e-01,3.881291705582822882e+00
5.746899146588211327e-01,4.103098553206239174e+00
7.075958914461303317e-01,4.104257627257278607e+00
8.132086497554985582e-01,4.330473773181438446e+00
9.580572062253223109e-01,4.361432202160358429e+00
1.077309656078549560e+00,4.609415521579128594e+00
1.228411211718388074e+00,4.610320441424846649e+00
1.357844766904791056e+00,4.834150304751736016e+00
1.505653452330228070e+00,4.856961259884493565e+00
1.644866019781795918e+00,5.026675419083662888e+00
1.783943964279587124e+00,5.086538801235811924e+00
1.882630224663735863e+00,5.199411859469753594e+00
1.977200086635456433e+00,5.338390613240854066e+00
