x,y
2.215607809597005540e-01,-1.652876311269478204e+00
2.113099280161378490e-01,-1.523862291505005739e+00
1.955250930103647200e-01,-1.510395435504903627e+00
1.794035471701786455e-01,-1.345401540243976068e+00
1.574167381057729742e-01,-1.332095931837889768e+00
1.396450958099000050e-01,-1.131370699676795599e+00
1.178492588872026015e-01,-1.118434652840740728e+00
1.010101165657973366e-01,-8.816783767243889791e-01
8.137064307793355489e-02,-8.747965035111466836e-01
6.726131276467547937e-02,-6.486744029181343851e-01
5.156310462098354086e-02,-6.426751720053808237e-01
4.172930831486889452e-02,-4.287204146385192316e-01
3.172693478912667897e-02,-4.284018916743141947e-01
2.618311284372033115e-02,-2.145532114165169812e-01
2.074267071758179731e-02,-2.143642136028834355e-01
1.848994585551964887e-02,-1.889978136335457304e-04
1.624105988106219062e-02,0.000000000000000000e+00
1.848994585551964887e-02,1.889978136335457304e-04
2.074267071758179731e-02,2.143642136028834355e-01
2.618311284372033115e-02,2.145532114165169812e-01
3.172693478912667897e-02,4.284018916743141947e-01
4.172930831486889452e-02,4.287204146385192316e-01
5.156310462098354086e-02,6.426751720053808237e-01
6.726131276467547937e-02,6.486744029181343851e-01
8.137064307793355489e-02,8.747965035111466836e-01
1.010101165657973366e-01,8.816783767243889791e-01
1.178492588872026015e-01,1.118434652840740728e+00
1.396450958099000050e-01,1.131370699676795599e+00
1.574167381057729742e-01,1.332095931837889768e+00
1.794035471701786455e-01,1.345401540243976068e+00
1.955250930103647200e-01,1.510395435504903627e+00
2.113099280161378490e-01,1.523862291505005739e+00
2.215607809597005540e-01,1.652876311269478204e+00
