"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -5.269124214,      -15.90606943,      -16.49038296,       -16.2116515,      -5.061998721,       -12.2988056
          0,           0,           1,       -5.42061446,      -5.503039821,      -6.499742126,      -5.792929728,      -5.216853499,      -12.29817178
          0,           0,           2,       -5.42972878,      -5.559749934,      -6.475403148,      -5.814341028,      -5.218256899,      -12.56253226
          0,           0,           3,      -5.437508325,      -5.627227042,       -6.39013309,      -5.837589491,      -5.217313853,      -12.70247041
          0,           0,           4,      -5.449368034,      -5.703037182,      -6.296172362,      -5.862979268,      -5.220918381,      -12.80280216
          0,           0,           5,      -5.471979846,      -5.765006278,      -6.213483965,      -5.888921013,      -5.237506098,       -12.8646894
          0,           0,           6,      -5.511181234,      -5.767798016,      -6.146152069,      -5.911245624,      -5.275876637,       -12.8884357
          0,           0,           7,      -5.559573055,      -5.712426404,      -6.096312066,      -5.923855107,      -5.329501859,      -12.89752187
          0,           0,           8,      -5.572146485,      -5.660140897,      -6.065277368,      -5.907231273,      -5.341908919,      -12.88970355
          0,           0,           9,      -5.530466317,      -5.647786348,      -6.041524459,      -5.863662023,      -5.283118135,      -12.87461617
          0,           0,          10,      -5.480595284,      -5.678735726,      -6.017761451,      -5.826264009,      -5.216108565,      -12.86227715
          0,           0,          11,      -5.462107625,      -5.721767959,      -5.996651949,      -5.818390481,      -5.190427026,        -12.839776
          0,           0,          12,      -5.477732966,       -5.72784685,      -5.988212496,      -5.834862889,      -5.207873977,      -12.80612236
          0,           0,          13,      -5.506898081,      -5.704452084,      -5.992426798,      -5.855021988,      -5.244731567,      -12.78399052
          0,           0,          14,      -5.526010019,      -5.691894809,       -6.00485927,      -5.865246266,      -5.270788195,      -12.77322804
          0,           0,          15,      -5.529116597,      -5.711701085,      -6.019495377,      -5.868089498,      -5.273947296,      -12.76215142
          0,           0,          16,      -5.527501607,      -5.745862799,       -6.02879154,      -5.872575994,       -5.27002343,      -12.74614336
          0,           0,          17,      -5.531498555,      -5.758933803,      -6.030042685,      -5.877792019,      -5.275189965,      -12.72789375
          0,           0,          18,      -5.537229469,      -5.746402709,      -6.028336694,      -5.879484907,      -5.284034959,      -12.71447504
          0,           0,          19,      -5.539850245,      -5.739574574,      -6.029244642,      -5.877617816,      -5.287734025,      -12.70585317
          0,           0,          20,      -5.537189736,      -5.750461894,      -6.031844251,      -5.876419003,      -5.283457533,      -12.69769295
          0,           0,          21,      -5.535827641,      -5.765149602,      -6.031660814,      -5.878079675,      -5.281409758,      -12.68753411
          0,           0,          22,       -5.53662205,      -5.762555913,      -6.028338929,      -5.879438098,      -5.282954079,      -12.67661215
          0,           0,          23,      -5.536890304,      -5.747883758,      -6.024992822,      -5.877844607,      -5.284265787,      -12.66649692
          0,           0,          24,      -5.535346852,      -5.742069355,      -6.024039535,        -5.8747782,      -5.281976306,      -12.66030277
          0,           0,          25,      -5.531106374,      -5.748359693,      -6.023663379,      -5.873056338,      -5.275775033,       -12.6546274
          0,           0,          26,      -5.529400946,      -5.756249227,      -6.022050639,        -5.8735951,      -5.273301181,      -12.64749216
          0,           0,          27,      -5.529230597,      -5.751621087,      -6.018626876,      -5.873492616,       -5.27351162,      -12.64062387
          0,           0,          28,      -5.528872051,      -5.739533239,      -6.015972524,       -5.87113661,      -5.273938406,      -12.63199115
          0,           0,          29,      -5.526995865,      -5.734375812,       -6.01474807,      -5.868142002,       -5.27139663,      -12.62802475
          0,           0,          30,       -5.52339089,      -5.738268381,      -6.014117794,      -5.866818212,      -5.266328081,      -12.62407506
          0,           0,          31,      -5.521906085,      -5.743128007,       -6.01257215,      -5.867168732,      -5.264197081,       -12.6199553
          0,           0,          32,      -5.521799399,      -5.738473951,      -6.010238216,      -5.866680465,      -5.264427667,      -12.61572079
          0,           0,          33,       -5.52131206,      -5.727973908,      -6.008240334,      -5.863933775,      -5.264639321,      -12.60907295
          0,           0,          34,      -5.519440986,      -5.722454488,      -6.007280321,      -5.860940854,      -5.262295478,      -12.60568666
          0,           0,          35,      -5.516260524,      -5.723365344,      -6.006549779,      -5.858938672,      -5.257996981,      -12.60319821
          0,           0,          36,      -5.514486481,      -5.723909412,      -6.004902779,       -5.85788105,      -5.255609175,      -12.59926293
          0,           0,          37,      -5.513485193,      -5.716001658,      -6.002664972,      -5.854904588,      -5.254624416,      -12.59667273
          0,           0,          38,      -5.511964254,      -5.702239544,      -6.000394765,      -5.849234271,      -5.253411691,      -12.58915091
          0,           0,          39,      -5.508356554,      -5.689613085,      -5.998115804,      -5.841859083,      -5.248916166,       -12.5843342
