x,y
5.868467303003583879e-01,-4.066124082775786519e+00
3.987419347422463400e-01,-3.929364903796729980e+00
1.940447898592267961e-01,-3.748754570626520621e+00
-2.932463397298534780e-02,-3.534932478297768021e+00
-2.679845735686166019e-01,-3.290213807452736283e+00
-3.827785809380666038e-01,-3.049147385671468591e+00
-5.151828742708477460e-01,-2.789697043697482393e+00
-6.160710413796561813e-01,-2.549781000075329818e+00
-7.022068034580775109e-01,-2.313907070983467484e+00
-7.701186327253066732e-01,-2.070563849693696667e+00
-8.164245105470928632e-01,-1.828487777916182111e+00
-8.583631390162875796e-01,-1.586828694379489368e+00
-9.043070122855050297e-01,-1.340358200449762727e+00
-9.388754753385271101e-01,-1.112816115142777562e+00
-9.704267172132217123e-01,-8.600070078391581774e-01
-9.792225235530307437e-01,-6.009062215619322966e-01
-9.864128191811696311e-01,-3.660438641839262042e-01
-9.904261872427806424e-01,-1.100577851424793252e-01
-9.824316716875347577e-01,1.303247627469577008e-01
-9.673086279460361148e-01,3.626001380450489808e-01
-9.512105033057076664e-01,6.047024204329187747e-01
-9.263418787547519351e-01,8.572984070716691551e-01
-9.029137451989310836e-01,1.105686288759378133e+00
-8.689425206865584173e-01,1.340891036504347600e+00
-8.320470071520125188e-01,1.577214989179212434e+00
-7.878748734337943649e-01,1.826787623876173328e+00
-7.300626254762920819e-01,2.088895234578687532e+00
-6.583745013645718736e-01,2.341611401211203702e+00
-5.882976781300133240e-01,2.591076900816655204e+00
-5.160716817038397686e-01,2.820079921511932763e+00
-4.657220204217091819e-01,3.077663846214168775e+00
-3.923577370643616113e-01,3.309577140325148381e+00
-3.175678809029713889e-01,3.548059275007939828e+00
-2.382628281457083164e-01,3.787395493160666593e+00
-1.676535395894730440e-01,4.039605837747719974e+00
-7.448590251377640303e-02,4.270296453265473247e+00
2.801307371684491621e-03,4.521785275112572222e+00
1.123056494508470893e-01,4.768187606873523166e+00
1.929211869580405025e-01,5.026519178180022251e+00
2.937229049801826086e-01,5.275721497733943721e+00
4.056133295553071005e-01,5.525309442309662700e+00
5.339881424137523647e-01,5.780267526961063496e+00
6.526901751501219540e-01,6.041790978084982555e+00
7.916712577598434830e-01,6.289646709504136624e+00
9.297584282244953924e-01,6.548060160562659604e+00
1.078538527207715259e+00,6.790357196869859280e+00
1.217190627302442207e+00,7.040474498810777249e+00
1.347428319471222879e+00,7.283518875184068264e+00
1.481820012603487058e+00,7.520373496526318036e+00
1.625746782098497434e+00,7.761887089382589977e+00
1.767196310179574015e+00,8.016924805839412471e+00
1.898431858607700695e+00,8.256671172067788333e+00
2.034749707766941640e+00,8.504236305298814358e+00
2.191997898238045472e+00,8.765613367415166834e+00
2.351644307136535161e+00,9.013526455532492321e+00
2.520495018550327426e+00,9.273030910008984051e+00
2.646641437258038909e+00,9.527384705741756221e+00
2.802805265971592075e+00,9.799372212063254040e+00
2.933117879050118226e+00,1.004609429719857872e+01
3.105862068040030177e+00,1.032837208563328701e+01
3.270326626913888202e+00,1.057119950109959561e+01
3.377584163393292815e+00,1.084675306816851403e+01
3.324775197437831231e+00,1.110152402829511864e+01
3.270308013234819899e+00,1.139265790891035124e+01
3.170683839253016778e+00,1.164781115619864593e+01
3.272468715667724570e+00,1.201492971916949060e+01
3.312886080333164784e+00,1.231434408139570458e+01
3.320807741982596095e+00,1.260601229210650231e+01
3.365234183175223048e+00,1.284160418053423847e+01
