x,y
7.000170177391596971e-01,-4.579647660786971386e+00
6.219083472830908565e-01,-4.423877597386702831e+00
5.313471510750906734e-01,-4.232944931834290436e+00
4.298572772060121339e-01,-4.006263443933420376e+00
3.191100995200020773e-01,-3.743806209414552555e+00
2.645999403681073558e-01,-3.482669677584718571e+00
2.482305975641522777e-01,-3.225166474601407707e+00
1.826668549605777736e-01,-2.975570185375420174e+00
1.289002041476112748e-01,-2.726376742656096752e+00
8.608944051606315373e-02,-2.476684419703690132e+00
5.401810979843146843e-02,-2.244752954696163538e+00
3.139674213954379844e-02,-2.030479648820249228e+00
-1.061663928031921778e-01,-1.783679115457451836e+00
-2.321530029433113151e-01,-1.542743219333293059e+00
-3.595067137309484462e-01,-1.298744317148670557e+00
-4.753104833875383406e-01,-1.084345281660814342e+00
-5.825932411466325789e-01,-8.679420889533437933e-01
-6.877757611274717409e-01,-6.009504566228753841e-01
-7.908507800783428632e-01,-3.452937267714251135e-01
-7.673433382851735374e-01,-1.285675343651795366e-01
-7.382260435649323771e-01,1.034154546054408819e-01
-6.946235429218834412e-01,3.492021214755582914e-01
-6.573883510317122258e-01,6.176898644445258935e-01
-6.257389147622245407e-01,8.724463661872976505e-01
-5.750848951339722070e-01,1.109493476472376061e+00
-5.201429854801724595e-01,1.358891060842579934e+00
-4.527121401514326848e-01,1.619311144842213279e+00
-3.882224349294389754e-01,1.868938087885513299e+00
-3.116925744329179793e-01,2.100821988391669670e+00
-2.274097078868321242e-01,2.340508715915473381e+00
-1.254901249749319492e-01,2.601963230010234440e+00
-3.207562674794872670e-02,2.848992738873411312e+00
6.781214877537333763e-02,3.092836294323850765e+00
1.741527423007148689e-01,3.358528494303360645e+00
2.896975595780780788e-01,3.608375838293141236e+00
3.952030559746282368e-01,3.871298602117604126e+00
5.194974008426069823e-01,4.117130091680593296e+00
6.449108442036168842e-01,4.350677506732734123e+00
7.854865383899637399e-01,4.602178181389193767e+00
9.294132823401263233e-01,4.869787437043664902e+00
1.093401798074798759e+00,5.108724883092945923e+00
1.245449819629745658e+00,5.355458276080878655e+00
1.430212591137204781e+00,5.614497065012589161e+00
1.596877221311841621e+00,5.877883110196043148e+00
1.785374636922563596e+00,6.138971617712086548e+00
1.978497364452906915e+00,6.391071744796001042e+00
2.183226018905639165e+00,6.647732138102187882e+00
2.357413389614650079e+00,6.888717191028388420e+00
2.542325100490025136e+00,7.133788806519983261e+00
2.721175768307277032e+00,7.377942919199601768e+00
2.941231092997959262e+00,7.628155724811345628e+00
3.119259199687412387e+00,7.847247957651748429e+00
3.265089251926966973e+00,8.020933303982660689e+00
3.382900999886648830e+00,8.158002597413537060e+00
