"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -6.004894879,      -6.103968667,       -6.67537327,      -6.337644024,      -6.264483511,      -8.779006859
          0,           0,           1,      -6.004968247,      -6.104038039,      -6.675443715,      -6.337713249,      -6.264573296,      -8.778966125
          0,           0,           2,      -6.005087251,      -6.104151763,      -6.675555747,      -6.337824973,      -6.264717788,      -8.778956283
          0,           0,           3,      -6.005217159,      -6.104276523,      -6.675676717,      -6.337946668,      -6.264875136,       -8.77894549
          0,           0,           4,      -6.005358869,      -6.104413346,      -6.675807098,       -6.33807909,      -6.265046323,       -8.77893366
          0,           0,           5,      -6.005513339,      -6.104563351,      -6.675947321,      -6.338223048,      -6.265232378,      -8.778920696
          0,           0,           6,      -6.005681577,      -6.104727748,       -6.67609778,      -6.338379377,      -6.265434366,      -8.778906496
          0,           0,           7,      -6.005864654,      -6.104907844,      -6.676258813,      -6.338548936,      -6.265653392,      -8.778890948
          0,           0,           8,      -6.006063642,      -6.105105013,      -6.676430644,       -6.33873254,      -6.265890536,      -8.778873932
          0,           0,           9,      -6.006279736,      -6.105320787,      -6.676613435,      -6.338931114,      -6.266146963,       -8.77885532
          0,           0,          10,      -6.006514137,      -6.105556776,      -6.676807179,      -6.339145542,        -6.2664238,      -8.778834973
          0,           0,          11,       -6.00676809,      -6.105814705,      -6.677011749,      -6.339376703,      -6.266722161,      -8.778812743
          0,           0,          12,      -6.007042818,      -6.106096367,      -6.677226778,      -6.339625374,      -6.267043065,      -8.778788472
          0,           0,          13,      -6.007339582,      -6.106403677,      -6.677451652,      -6.339892326,      -6.267387483,      -8.778761994
          0,           0,          14,      -6.007659604,      -6.106738615,      -6.677685449,      -6.340178209,      -6.267756239,       -8.77873313
          0,           0,          15,       -6.00800404,      -6.107103209,      -6.677926914,      -6.340483526,      -6.268149958,      -8.778701691
          0,           0,          16,      -6.008374014,      -6.107499514,      -6.678174365,      -6.340808651,      -6.268569065,      -8.778667484
          0,           0,          17,      -6.008770541,      -6.107929569,       -6.67842564,      -6.341153729,      -6.269013674,      -8.778630301
          0,           0,          18,      -6.009194075,      -6.108395276,      -6.678677984,      -6.341518274,      -6.269483127,       -8.77858993
          0,           0,          19,      -6.009645117,      -6.108898409,      -6.678928173,      -6.341901694,      -6.269976496,      -8.778546151
          0,           0,          20,      -6.010123489,      -6.109440436,      -6.679172073,      -6.342302648,      -6.270491838,      -8.778498733
          0,           0,          21,      -6.010628301,      -6.110022356,      -6.679404775,      -6.342719013,      -6.271026091,      -8.778447446
          0,           0,          22,      -6.011157923,      -6.110644543,      -6.679620531,      -6.343147719,      -6.271574945,      -8.778392056
          0,           0,          23,      -6.011709645,      -6.111306491,      -6.679812521,      -6.343584561,      -6.272132417,      -8.778332322
          0,           0,          24,      -6.012279372,      -6.112006507,      -6.679972909,      -6.344023912,      -6.272690465,      -8.778268006
          0,           0,          25,      -6.012861055,       -6.11274115,       -6.68009256,      -6.344458229,      -6.273238271,      -8.778198864
          0,           0,          26,      -6.013446676,      -6.113505371,      -6.680161287,      -6.344877838,      -6.273762148,      -8.778206859
          0,           0,          27,       -6.01402392,      -6.114262881,      -6.680229672,      -6.345288161,      -6.274271393,      -8.778229818
          0,           0,          28,      -6.014591497,      -6.115007684,      -6.680308531,      -6.345691652,      -6.274769823,      -8.778252061
          0,           0,          29,      -6.015149554,      -6.115740239,       -6.68039738,      -6.346088331,      -6.275257921,      -8.778273612
          0,           0,          30,      -6.015697457,      -6.116460898,      -6.680495255,      -6.346477561,      -6.275735445,      -8.778294491
          0,           0,          31,      -6.016235339,      -6.117170171,      -6.680601496,      -6.346859427,      -6.276202883,      -8.778314692
          0,           0,          32,      -6.016763566,      -6.117868745,      -6.680715787,      -6.347234315,      -6.276660936,      -8.778334234
          0,           0,          33,      -6.017282636,      -6.118557369,      -6.680837646,      -6.347602632,      -6.277110412,      -8.778353127
          0,           0,          34,      -6.017792795,      -6.119236615,      -6.680966413,      -6.347964582,      -6.277551854,      -8.778371346
          0,           0,          35,      -6.018294398,       -6.11990708,      -6.681101448,      -6.348320448,      -6.277985899,      -8.778388933
          0,           0,          36,      -6.018787907,      -6.120569466,      -6.681242354,      -6.348670577,      -6.278413278,      -8.778405898
          0,           0,          37,      -6.019273919,      -6.121224508,      -6.681388654,      -6.349015497,      -6.278834849,      -8.778422248
          0,           0,          38,      -6.019752959,      -6.121872915,      -6.681540138,       -6.34935569,      -6.279251361,      -8.778437978
          0,           0,          39,      -6.020225562,      -6.122515381,       -6.68169661,      -6.349691332,      -6.279663558,       -8.77845304
