x,y
3.198950926916939719e-01,-1.897497876074224044e+00
2.796268077577863109e-01,-1.754985878170127744e+00
2.334537631443568406e-01,-1.577687110944044901e+00
1.826704440116881933e-01,-1.364002696829774042e+00
1.289028565543037796e-01,-1.119211065642062630e+00
8.609253995759136302e-02,-8.774108979111863160e-01
5.402138805389400389e-02,-6.467756222460477877e-01
3.139949246815276762e-02,-4.325024526093214639e-01
1.790830469131465819e-02,-2.183352791896415179e-01
1.328942155838008787e-02,-3.593112534237320049e-03
1.780341754640846208e-02,2.105820777101648777e-01
3.130195372445243596e-02,4.290826024694574525e-01
5.395734712055755278e-02,6.527677180452478023e-01
8.608223686899463267e-02,8.861849662655638671e-01
1.288096093450273871e-01,1.135503797998858699e+00
1.826607752868106838e-01,1.384812924818741742e+00
2.481334909541266232e-01,1.634308942002318243e+00
3.248904110874448192e-01,1.893590211143924007e+00
4.242227213467870128e-01,2.154972893126782196e+00
5.609098383103098273e-01,2.409641963370617201e+00
7.104640781623976498e-01,2.665845069842087689e+00
9.369108301997184363e-01,2.915810073400655344e+00
1.150732398859092065e+00,3.130127122699622788e+00
1.349964872828551599e+00,3.308895519077186265e+00
1.533390537730284997e+00,3.442059993019533692e+00
