x,y
8.115770090648105617e-01,-2.424204078875164647e+00
6.817139725344520951e-01,-2.279351287361449430e+00
5.427105977875845699e-01,-2.099134838713813789e+00
3.959531441075461178e-01,-1.883152163161445403e+00
2.432623120035443676e-01,-1.631364074907879491e+00
1.777910119465418992e-01,-1.382887765472171182e+00
1.237034454686301022e-01,-1.133293528348954471e+00
8.077679763521472545e-02,-8.839802781648952168e-01
4.853863777433120585e-02,-6.523219846570059710e-01
2.555574240003311015e-02,-4.267887334055128767e-01
1.190732608522693248e-02,-2.124299906575248809e-01
6.988852977752646467e-03,1.539495442808198195e-03
1.122549152374263670e-02,2.177789392899194543e-01
2.437491478238795750e-02,4.318664340719585715e-01
4.654082632064826530e-02,6.458612457601091705e-01
7.779457289831970268e-02,8.784748723201434295e-01
1.195394649846212021e-01,1.116597229109596245e+00
1.723064437253134518e-01,1.365804517136405716e+00
2.354051787682941432e-01,1.615425159117258147e+00
3.104354758092335298e-01,1.868912848271746752e+00
4.074763802289962378e-01,2.118962269037214519e+00
5.219388921090534206e-01,2.374392115937064673e+00
6.665425276926585374e-01,2.623687674185312346e+00
8.432816967112677364e-01,2.877196752892325460e+00
1.040470457264355275e+00,3.128190685888802669e+00
1.269855069024222072e+00,3.377891674930812549e+00
1.482819539921624186e+00,3.586700744155578491e+00
1.667932241916656455e+00,3.764594961782967708e+00
1.828089317866733898e+00,3.901744636334795402e+00
