x,y,z,density,shock_sensor,shock_sensor_raw,radius_yz,spiral_step,shell_layer,line_index,bin_i,bin_j
-1.4801708221435543,0.0,0.0,2.400332450866699,16.609470884502112,19.988989050701807,0.0,0,0,47,126,135
-1.425349680582682,-0.08921976884206136,-0.08921976884206136,3.454058885574341,17.669369059349876,26.358761199521865,0.12617580712823567,1,1,48,125,134
-1.4801708221435543,-0.08921976884206136,0.0,2.312433958053589,16.046369254856142,22.706694799927842,0.08921976884206136,2,1,47,125,135
-1.4801708221435543,-0.08921976884206136,0.08921976884206136,3.0922582149505615,16.362025175113462,23.614999462961308,0.12617580712823567,3,1,47,125,136
-1.4801708221435543,0.0,0.08921976884206136,2.556453227996826,16.791500803870186,25.763719954866062,0.08921976884206136,4,1,47,126,136
-1.4801708221435543,0.08921976884206136,0.08921976884206136,2.7628250122070312,16.813285703090866,23.798815185204962,0.12617580712823567,5,1,47,127,136
-1.425349680582682,0.08921976884206136,0.0,4.085766315460205,16.97606454757698,26.298792619130264,0.08921976884206136,6,1,48,127,135
-1.425349680582682,0.08921976884206136,-0.08921976884206136,3.524554967880249,17.27063308824023,28.58854770779961,0.12617580712823567,7,1,48,127,134
-1.425349680582682,0.0,-0.08921976884206136,3.3046391010284424,16.832565339472502,25.623665575700713,0.08921976884206136,8,1,48,126,134
-1.425349680582682,-0.1784395376841227,-0.1784395376841227,2.7730395793914795,17.20969169852444,27.965544820086368,0.25235161425647135,9,2,48,124,133
-1.425349680582682,-0.1784395376841227,-0.08921976884206136,3.5661873817443848,16.862689018924677,26.218981849605747,0.1995014680676669,10,2,48,124,134
-1.425349680582682,-0.1784395376841227,0.0,3.8649847507476807,16.9639730933252,23.926609003821305,0.1784395376841227,11,2,48,124,135
-1.4801708221435543,-0.1784395376841227,0.08921976884206136,2.5648980140686035,15.601255909640468,22.548148490692316,0.1995014680676669,12,2,47,124,136
-1.4801708221435543,-0.1784395376841227,0.1784395376841227,2.995555877685547,17.462190261588308,26.190662902790088,0.25235161425647135,13,2,47,124,137
-1.4801708221435543,-0.08921976884206136,0.1784395376841227,3.1278648376464844,16.62809238217294,23.06959028492585,0.1995014680676669,14,2,47,125,137
-1.4801708221435543,0.0,0.1784395376841227,2.997270345687866,16.93434851956073,25.832253611127413,0.1784395376841227,15,2,47,126,137
-1.4801708221435543,0.08921976884206136,0.1784395376841227,2.9698312282562256,15.542288827196456,21.84435450848091,0.1995014680676669,16,2,47,127,137
-1.4801708221435543,0.1784395376841227,0.1784395376841227,3.054438829421997,16.52838034842319,26.80895892942033,0.25235161425647135,17,2,47,128,137
-1.4801708221435543,0.1784395376841227,0.08921976884206136,2.5925369262695312,17.10428804675273,27.79507379379456,0.1995014680676669,18,2,47,128,136
-1.425349680582682,0.1784395376841227,0.0,3.8743221759796143,16.209400276355318,23.748019643095322,0.1784395376841227,19,2,48,128,135
-1.425349680582682,0.1784395376841227,-0.08921976884206136,3.306710720062256,18.592792986377795,27.2980566478709,0.1995014680676669,20,2,48,128,134
-1.425349680582682,0.1784395376841227,-0.1784395376841227,2.5640783309936523,17.20054597947646,28.80488990319048,0.25235161425647135,21,2,48,128,133
-1.425349680582682,0.08921976884206136,-0.1784395376841227,2.824577808380127,16.79435834250336,22.922562273808964,0.1995014680676669,22,2,48,127,133
-1.425349680582682,0.0,-0.1784395376841227,2.793351650238037,17.872234017342382,29.032757173338716,0.1784395376841227,23,2,48,126,133
-1.425349680582682,-0.08921976884206136,-0.1784395376841227,2.446746587753296,18.821742410998716,28.306997674865485,0.1995014680676669,24,2,48,125,133
-1.425349680582682,-0.2676593065261841,-0.2676593065261841,2.3131377696990967,14.080733067292012,20.341602852071603,0.378527421384707,25,3,48,123,132
-1.425349680582682,-0.2676593065261841,-0.1784395376841227,2.4049928188323975,17.175253076855604,25.14633882943243,0.3216864513450966,26,3,48,123,133
-1.425349680582682,-0.2676593065261841,-0.08921976884206136,3.262789726257324,16.868008264417018,25.80985425437084,0.28213768185463745,27,3,48,123,134
-1.4801708221435543,-0.2676593065261841,0.0,2.08351993560791,17.227275373725156,22.632817392045418,0.2676593065261841,28,3,47,123,135
-1.4801708221435543,-0.2676593065261841,0.08921976884206136,2.719128370285034,16.51571087901828,24.56444252923889,0.28213768185463745,29,3,47,123,136
-1.4801708221435543,-0.2676593065261841,0.1784395376841227,2.7692410945892334,14.919434837642658,25.839253957257462,0.3216864513450966,30,3,47,123,137
-1.4801708221435543,-0.2676593065261841,0.2676593065261841,3.066960573196411,16.928516430150538,23.16444922450852,0.378527421384707,31,3,47,123,138
-1.4801708221435543,-0.1784395376841227,0.2676593065261841,3.315138101577759,16.41187342103741,27.37300008217393,0.3216864513450966,32,3,47,124,138
-1.4801708221435543,-0.08921976884206136,0.2676593065261841,3.65244197845459,16.619297996138698,29.000292628068742,0.28213768185463745,33,3,47,125,138
-1.4801708221435543,0.0,0.2676593065261841,3.538370132446289,16.734838835641995,27.401503504687888,0.2676593065261841,34,3,47,126,138
-1.4801708221435543,0.08921976884206136,0.2676593065261841,3.6914939880371094,17.25927779947995,29.29269537393865,0.28213768185463745,35,3,47,127,138
