"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -5.257097728,      -15.88246701,      -16.48400401,      -16.33198102,      -5.049972236,      -12.29622356
          0,           0,           1,      -5.408699048,      -5.466007558,       -6.50684525,      -5.968482723,      -5.204419698,      -12.29460845
          0,           0,           2,      -5.413731587,      -5.517981206,      -6.476777637,      -5.983492617,      -5.201250264,      -12.57238414
          0,           0,           3,      -5.418267917,      -5.583245407,       -6.38633679,       -5.99546274,      -5.196506931,      -12.70256688
          0,           0,           4,      -5.426226279,      -5.661109423,       -6.29022582,      -6.003951473,       -5.19541867,      -12.80794057
          0,           0,           5,      -5.443872242,      -5.734802834,      -6.206920426,      -6.007794937,      -5.205951261,      -12.86977091
          0,           0,           6,      -5.478572543,      -5.758363696,       -6.13825175,      -6.003384267,       -5.23872046,      -12.89357973
          0,           0,           7,      -5.530867537,      -5.709848751,      -6.082489207,      -5.993310255,      -5.296810643,      -12.90029655
          0,           0,           8,       -5.56229369,      -5.644027867,      -6.044513171,      -5.971701165,      -5.335732997,      -12.89047448
          0,           0,           9,      -5.526841247,        -5.6128526,      -6.017137956,      -5.934133998,      -5.285517533,       -12.8686417
          0,           0,          10,      -5.462238513,      -5.635298762,      -5.993155851,      -5.894287326,      -5.198477961,      -12.86036274
          0,           0,          11,      -5.428874182,      -5.693910014,      -5.970036803,      -5.874791035,      -5.154244064,      -12.84546663
          0,           0,          12,      -5.439038779,      -5.721209694,      -5.957896658,      -5.877823746,      -5.164229773,      -12.80405138
          0,           0,          13,      -5.473468461,      -5.693305913,      -5.958559379,      -5.893098835,        -5.2063749,      -12.77433478
          0,           0,          14,       -5.50115583,      -5.664975854,       -5.96854894,       -5.90656398,      -5.243989297,      -12.76424024
          0,           0,          15,      -5.507236179,      -5.678303423,      -5.985273526,      -5.914161736,      -5.251596844,      -12.75657549
          0,           0,          16,      -5.502708671,       -5.72206748,      -5.999364585,      -5.920448512,      -5.243211018,      -12.74068111
          0,           0,          17,      -5.505876607,      -5.748679499,      -6.002867405,      -5.925775617,      -5.246796557,      -12.71993582
          0,           0,          18,      -5.513187577,      -5.732823516,      -5.998794074,      -5.928367033,      -5.258170879,      -12.70278109
          0,           0,          19,       -5.51797981,       -5.71606221,      -5.997844576,       -5.92676703,      -5.265285435,      -12.69403895
          0,           0,          20,      -5.514026173,      -5.724543756,      -6.001857846,      -5.924523557,      -5.259110366,      -12.68624002
          0,           0,          21,      -5.511462302,      -5.748396356,      -6.003896617,       -5.92502708,      -5.255134203,      -12.67628395
          0,           0,          22,      -5.512581092,      -5.752712615,      -5.999978922,      -5.927381451,      -5.256884698,       -12.6635706
          0,           0,          23,      -5.513454448,      -5.732035394,      -5.994438524,      -5.925329805,      -5.259674377,      -12.65072665
          0,           0,          24,      -5.512978984,      -5.718320348,      -5.992750413,      -5.921147321,      -5.259016618,      -12.64377403
          0,           0,          25,      -5.507016309,       -5.72369778,       -5.99349341,      -5.917510204,      -5.250273799,      -12.63870797
          0,           0,          26,      -5.504450865,      -5.739803051,      -5.993000678,      -5.918715814,      -5.246262371,      -12.63090626
          0,           0,          27,      -5.504426728,      -5.740210738,      -5.988822201,      -5.919247394,      -5.246451764,      -12.62371578
          0,           0,          28,      -5.504761225,      -5.722250039,       -5.98472493,      -5.916371794,        -5.2484349,      -12.61238272
          0,           0,          29,       -5.50379352,      -5.710272833,      -5.983075363,      -5.911748744,       -5.24729573,      -12.60729216
          0,           0,          30,       -5.49860658,      -5.713887833,      -5.983174785,      -5.909601887,      -5.239948692,      -12.60398376
          0,           0,          31,      -5.496265069,      -5.726265829,      -5.982282162,      -5.910751286,      -5.236336008,      -12.59871532
          0,           0,          32,      -5.496361329,      -5.725292401,      -5.979365363,      -5.911176299,      -5.236598524,      -12.59568598
          0,           0,          33,      -5.496730437,       -5.70919579,       -5.97641329,      -5.907903736,       -5.23850791,      -12.58634096
          0,           0,          34,      -5.495592562,      -5.697979634,      -5.975142734,      -5.904073755,      -5.237305046,       -12.5818153
          0,           0,          35,      -5.490946042,      -5.699096057,      -5.975145007,      -5.901964251,       -5.23098627,      -12.58000279
          0,           0,          36,      -5.488526289,      -5.706125569,        -5.9739216,      -5.902453204,      -5.227460452,      -12.57498152
          0,           0,          37,      -5.487926463,       -5.70075884,      -5.971413924,      -5.901417042,      -5.226771572,      -12.57463613
          0,           0,          38,      -5.487611023,      -5.682640845,      -5.968690227,      -5.896935303,      -5.227625171,      -12.56533539
          0,           0,          39,      -5.484850649,      -5.666160799,      -5.966573375,      -5.890941146,      -5.224417943,      -12.55967679
          0,           0,          40,       -5.47896858,      -5.656535702,      -5.965141029,      -5.885594337,      -5.216774528,      -12.55597343
          0,           0,          41,       -5.47416396,      -5.647957674,      -5.961866423,      -5.880921975,      -5.210402148,      -12.54778626
          0,           0,          42,      -5.469786214,      -5.627614774,      -5.957035004,      -5.873168441,      -5.205035048,      -12.54440404
          0,           0,          43,      -5.464960873,      -5.597648662,      -5.950978327,      -5.860964195,      -5.200256917,      -12.53163659
          0,           0,          44,      -5.456702815,      -5.567294093,      -5.944140708,      -5.846001147,      -5.190701744,      -12.51964008
          0,           0,          45,      -5.445016814,      -5.539880391,      -5.936365446,       -5.83015778,      -5.176920029,      -12.50966353
          0,           0,          46,      -5.433561618,       -5.51293722,      -5.926242372,       -5.81354001,       -5.16371385,      -12.49426653
          0,           0,          47,      -5.421410051,      -5.480913652,      -5.913773713,      -5.794026234,      -5.150382989,      -12.48371216
          0,           0,          48,      -5.408742561,      -5.446417601,      -5.899657389,      -5.771673672,       -5.13773333,      -12.46617174
          0,           0,          49,      -5.393538546,       -5.41382777,      -5.884465019,      -5.748620564,      -5.122069137,      -12.44851991
          0,           0,          50,      -5.376244272,      -5.384601739,      -5.868294537,      -5.725967554,      -5.104267398,      -12.43411717
          0,           0,          51,      -5.360119891,       -5.35805949,      -5.851143454,      -5.704570348,      -5.088264943,      -12.41601812
          0,           0,          52,      -5.344125012,      -5.331496881,      -5.833001549,      -5.683044928,      -5.072924429,      -12.40320817
          0,           0,          53,      -5.329105491,      -5.305973834,      -5.814955483,       -5.66212711,      -5.059605123,      -12.38687017
          0,           0,          54,      -5.313587578,      -5.283053867,      -5.797351438,      -5.642477931,      -5.045565042,      -12.37119963
          0,           0,          55,        -5.2979661,      -5.263180568,      -5.780366387,      -5.624825848,      -5.031400457,      -12.35918985
          0,           0,          56,       -5.28435188,       -5.24611003,      -5.764163946,      -5.609246221,      -5.019617444,      -12.34536892
          0,           0,          57,      -5.271755717,      -5.230144717,      -5.748576919,      -5.594998145,      -5.008993538,      -12.33625536
          0,           0,          58,      -5.260816595,      -5.215617271,      -5.734233883,      -5.582050572,      -5.000641381,        -12.325661
          0,           0,          59,      -5.250360285,      -5.203150875,      -5.721097233,      -5.570756692,      -4.992418655,      -12.31566452
          0,           0,          60,       -5.24040209,      -5.192850278,       -5.70912082,      -5.561119787,      -4.984459644,       -12.3090714
          0,           0,          61,      -5.232393503,       -5.18468058,      -5.698334234,       -5.55332396,      -4.978598006,      -12.30102886
          0,           0,          62,      -5.225307668,      -5.177389323,       -5.68840277,      -5.546486892,      -4.973501579,      -12.29698574
          0,           0,          63,      -5.219778692,      -5.171122849,      -5.679714625,      -5.540707923,      -4.970354448,       -12.2917981
          0,           0,          64,      -5.214664115,      -5.166178807,      -5.671962001,      -5.535884379,      -4.967168839,      -12.28705772
          0,           0,          65,      -5.209996587,      -5.162604993,      -5.665185003,      -5.532180414,      -4.964130285,      -12.28483282
