"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -5.367798587,      -5.473571408,      -5.884176587,      -5.309648546,      -5.095850231,      -12.42891014
          0,           0,          55,      -5.350412232,      -5.456892735,      -5.863835824,      -5.292720067,      -5.081605244,      -12.41426601
          0,           0,          56,      -5.335057445,      -5.442331962,      -5.845192856,      -5.278343461,      -5.069507629,      -12.40150103
          0,           0,          57,      -5.321647688,      -5.429755838,       -5.82823997,      -5.266306888,      -5.059389098,       -12.3906741
          0,           0,          58,      -5.310104427,      -5.419029109,      -5.812909394,      -5.256429886,      -5.051116314,      -12.38150371
          0,           0,          59,      -5.300291105,       -5.41002747,      -5.799144275,      -5.248530626,      -5.044474689,      -12.37391402
          0,           0,          60,      -5.292077924,      -5.402596627,      -5.786799545,      -5.242416988,      -5.039296665,      -12.36784534
          0,           0,          61,      -5.285374598,      -5.396578371,      -5.775799325,      -5.237902787,      -5.035471666,      -12.36300469
          0,           0,          62,       -5.28000752,       -5.39179779,      -5.765985406,      -5.234784527,      -5.032792645,      -12.35943126
          0,           0,          63,      -5.275862643,      -5.388126588,       -5.75728176,      -5.232901226,      -5.031146384,      -12.35678425
          0,           0,          64,      -5.272767378,      -5.385426324,      -5.749538842,      -5.232100281,      -5.030326407,      -12.35505023
          0,           0,          65,      -5.270606398,      -5.383568714,      -5.742657943,      -5.232238146,      -5.030227286,      -12.35408359
          0,           0,          66,      -5.269277945,      -5.382423486,       -5.73652084,      -5.233181937,      -5.030758096,      -12.35370274
          0,           0,          67,      -5.268644664,      -5.381878538,      -5.731027836,      -5.234787725,      -5.031781618,       -12.3538964
          0,           0,          68,      -5.268610328,      -5.381830631,      -5.726086246,       -5.23695035,      -5.033226022,       -12.3544038
